"identifiant","remuneration_annuelle_brute","sexe","date_diplome","filiere","nationalite_francaise","nationalite","prime","remuneration_prime","remuneration_annuelle_brute_hors_prime_premier_emploi","prime_premier_emploi","remuneration_annuelle_brute_avec_prime_premier_emploi"
"1742932406541910",38000,"Homme",2017,"MEA","Non","Chinoise","Oui",39000,36000,"Non",36000
"1756804883322830",30600,"Femme",2019,"GBA","Oui","","Non",32100,27000,"",27000
"1758523132419240",34750,"Homme",2017,"MAT","Oui","","Oui",37500,31000,"",33000
"1758627194075820",34000,"Homme",2019,"EGC-app","Oui","","Non",34000,NA,"",NA
"1759195102887890",31061.6666666667,"Femme",2020,"GBA","Oui","","Oui",37000,NA,"",NA
"1766809397136680",51000,"Homme",2018,"STE","Non","Marocaine","Oui",62584.5,30500,"Oui",36000
"1766816750910820",36600,"Homme",2019,"SE-app","Oui","","Oui",36933.3333333333,36000,"",36000
"1766816763108060",35000,"Homme",2019,"MEA","Oui","","Non",35000,35000,"",35400
"1766816763164740",32500,"Homme",2018,"GBA","Oui","","Oui",49500,NA,"",NA
"1766816841421730",28800,"Femme",2020,"IG","Oui","","Non",28800,NA,"",NA
"1766817026164020",39000,"Homme",2019,"IG","Oui","","Non",43000,40500,"",40500
"1766817679604640",36000,"Homme",2019,"IG","Oui","","Oui",37000,NA,"",NA
"1766825151490760",25966.6666666667,"Femme",2019,"GBA","Oui","","Oui",26633.3333333333,NA,"",NA
"1766828031937710",32000,"Homme",2017,"MAT","Oui","","",33000,NA,"",NA
"1766828215737030",32400,"Homme",2019,"MEA","Oui","","",32400,NA,"",NA
"1767188220767320",32668.3333333333,"Homme",2020,"STE","Oui","","Non",34168.3333333333,NA,"",NA
"1767189237564080",38500,"Femme",2021,"GBA","Oui","","",38500,NA,"",NA
"1767189251505240",32580,"Femme",2018,"GBA","Oui","","Oui",40250,NA,"",NA
"1767189251615070",36250,"Femme",2018,"STE","Oui","","Non",36250,NA,"",NA
"1767189979904520",31600,"Homme",2019,"IG","Oui","","Non",31600,NA,"",NA
"1767190160340410",38666.6666666667,"Homme",2020,"EGC-app","Oui","","Oui",47333.3333333333,NA,"",NA
"1767190268463680",42000,"Homme",2021,"MEA","Oui","","",42000,NA,"",NA
"1767190347040890",37500,"Homme",2021,"STE","Oui","","Non",37500,NA,"",NA
"1767198402827670",39000,"Homme",2021,"MAT","Oui","","",42000,NA,"",NA
"1767362520512390",31000,"Homme",2019,"MEA","Oui","","Oui",31500,NA,"",NA
"1767362688988250",28800,"Homme",2020,"EGC-app","Oui","","",30100,NA,"",NA
"1767362704614120",23370,"Homme",2017,"GBA","Oui","","Non",24562.5,18473,"",18473
"1767372926026850",33300,"Homme",2017,"MAT","Oui","","Non",34250,31500,"",33000
"1767472869101240",39000,"Homme",2021,"MSI-app","Oui","","",40000,NA,"",NA
"1767472951669570",42000,"Homme",2020,"EGC-app","Oui","","Oui",43333.3333333333,NA,"",NA
"1767472960852670",34644,"Homme",2019,"IG","Oui","","",36500,NA,"",NA
"1767472961734920",38000,"Homme",2019,"IG","Oui","","Non",38000,NA,"",NA
"1767472964490090",39000,"Homme",2020,"MSI-app","Oui","","",44950,NA,"",NA
"1767473044458750",33333.3333333333,"Homme",2020,"MEA","Oui","","Non",35666.6666666667,NA,"",NA
"1767473052660650",34000,"Homme",2020,"IG","Oui","","Oui",37000,NA,"",NA
"1767473227265950",43000,"Homme",2021,"MAT","Oui","","",47000,NA,"",NA
"1767473236111210",30129,"Homme",2018,"GBA","Oui","","Oui",33500,NA,"",NA
"1767638238509350",34433.3333333333,"Femme",2020,"IG","Oui","","Non",35466.6666666667,NA,"",NA
"1767641526750820",35000,"Homme",2019,"IG","Oui","","Oui",37500,NA,"",NA
"1767641628339300",30500,"Homme",2018,"IG","Oui","","Oui",35000,NA,"",NA
"1767650767951450",32000,"Homme",2021,"MEA","Oui","","Non",32000,31000,"",31000
"1767650860501100",35894,"Homme",2018,"MEA","Oui","","Oui",36144,NA,"",NA
"1767739318980900",1e+05,"Femme",2020,"GBA","Non","Albanaise","Oui",105000,NA,"",NA
"1767827769134300",24042,"Femme",2017,"GBA","Oui","","Non",24042,24000,"",24000
"1767827866609260",40000,"Femme",2018,"STE","Oui","","",40000,21500,"Non",22500
"1767828041541670",23998.5,"Femme",2019,"STE","Oui","","Non",24500,NA,"",NA
"1767828128912480",28800,"Femme",2021,"GBA","Oui","","Oui",31400,NA,"",NA
"1767828133549130",32466.6666666667,"Femme",2019,"GBA","Oui","","Oui",34666.6666666667,NA,"",NA
"1767833231783100",38690,"Femme",2017,"EGC-app","Oui","","Oui",44000,NA,"",NA
"1767833231964470",30800,"Homme",2017,"IG","Oui","","Oui",32000,35000,"",36000
"1767833242840040",35773.3333333333,"Homme",2020,"SE-app","Oui","","Oui",36600,NA,"",NA
"1767833321202130",32553.5,"Homme",2018,"MEA","Oui","","Non",32553.5,NA,"",NA
"1767833322084940",73149.6666666667,"Homme",2019,"IG","Oui","","Non",77982.6666666667,NA,"",NA
"1767833324689620",38000,"Homme",2018,"IG","Oui","","Oui",39000,NA,"",NA
"1767833412260590",75000,"Homme",2017,"MI","Oui","","Oui",88500,NA,"",NA
"1767833504256240",39500,"Homme",2020,"MI","Oui","","Oui",43338.5,NA,"",NA
"1767833604358820",47000,"Homme",2020,"MSI-app","Oui","","",51000,48500,"Oui",49250
"1767838795874690",34000,"Homme",2020,"STE","Oui","","",36000,NA,"",NA
"1767911677127430",58250,"Homme",2017,"STE","Oui","","Oui",63300,NA,"",NA
"1768095949487950",40320,"Homme",2017,"MSI-app","Oui","","",42320,NA,"",NA
"1768183496273810",36333.3333333333,"Homme",2020,"IG","Oui","","Non",36333.3333333333,NA,"",NA
"1768183497095870",41500,"Homme",2021,"EGC-app","Oui","","",52000,NA,"",NA
"1768183505228300",31000,"Homme",2019,"MAT","Oui","","Non",31000,NA,"",NA
"1768183506095160",29114.6666666667,"Homme",2019,"MEA","Oui","","",29114.6666666667,29076,"",29076
"1768183507034030",26556,"Homme",2021,"MAT","Oui","","",26556,NA,"",NA
"1768183587378060",34350,"Homme",2020,"MAT","Oui","","",36900,NA,"",NA
"1768183587449460",33600,"Homme",2019,"MI","Oui","","Non",33600,34800,"",34800
"1768183597444170",38666.6666666667,"Homme",2019,"MEA","Oui","","Non",40000,36500,"",37000
"1768183682286130",31000,"Homme",2018,"MEA","Oui","","Non",31000,NA,"",NA
"1768183686766870",32800,"Homme",2017,"MAT","Oui","","",35800,NA,"",NA
"1768183687743880",23170,"Homme",2020,"STE","Oui","","",23170,NA,"",NA
"1768367355289050",37000,"Homme",2021,"IG","Oui","","Non",37000,NA,"",NA
"1768453733098370",34307.5,"Homme",2017,"MEA","Non","Marocaine","Non",34307.5,NA,"",NA
"1768459845002980",27250,"Femme",2017,"IG","Non","Chinoise","Non",28100,28000,"Non",28000
"1768466560960410",16900,"Femme",2018,"GBA","","","Non",16900,NA,"",NA
"1768549695730200",33500,"Homme",2020,"MEA","Oui","","",35000,33000,"",33000
"1768549780066770",33800,"Homme",2020,"EGC-app","Oui","","Oui",37833.3333333333,NA,"",NA
"1768549870441810",37000,"Homme",2020,"GBA","Oui","","",44400,NA,"",NA
"1768549879167250",32000,"Homme",2017,"EGC-app","Oui","","Oui",34500,30000,"",32000
"1768549883109980",39333.3333333333,"Homme",2020,"IG","Oui","","Non",41000,NA,"",NA
"1768549960994340",35112.5,"Homme",2018,"EGC-app","Oui","","Oui",37637.5,NA,"",NA
"1768555977764870",38000,"Homme",2018,"MAT","Oui","","Oui",39500,NA,"",NA
"1768989176927280",25800,"Homme",2020,"MAT","Oui","","",25800,NA,"",NA
"1769007709059690",39000,"Homme",2018,"MI","Oui","","",39000,NA,"",NA
"1769007803921480",33733.3333333333,"Homme",2020,"IG","Oui","","Oui",34358.3333333333,NA,"",NA
"1769007890066910",37500,"Homme",2020,"MI","Oui","","",40750,NA,"",NA
"1769008063805780",37000,"Homme",2018,"IG","Oui","","Non",38500,34000,"",34000
"1775257595835560",11908.5,"Homme",2019,"MEA","Non","Malienne","",11908.5,20112,"",20112
"1775261297609710",33400,"Femme",2017,"MI","Oui","","Oui",34330,23280,"",25220
"1775263662780760",28169.3333333333,"Femme",2020,"MAT","Oui","","Oui",28836,32000,"",34000
"1775263739634360",30000,"Femme",2019,"EGC-app","Oui","","",30000,NA,"",NA
"1775263748033210",30000,"Homme",2020,"MAT","Oui","","",30000,17280,"",19680
"1775263820111760",33100,"Femme",2021,"MEA","","","Oui",36000,NA,"",NA
"1775263824687930",41000,"Homme",2020,"MSI-app","Oui","","Oui",44000,NA,"",NA
"1775264515647930",38000,"Femme",2021,"STE","Oui","","",38000,NA,"",NA
"1775264733646980",33800,"Femme",2020,"STE","Oui","","Oui",37133.3333333333,NA,"",NA
"1775265351539410",29400,"Femme",2017,"STE","Oui","","",30870,NA,"",NA
"1775270642923870",31380,"Homme",2020,"IG","Oui","","Oui",34695,NA,"",NA
"1775335295742820",46000,"Femme",2018,"MEA","Non","Tunisienne","Oui",48000,NA,"",NA
"1775345181363770",35000,"Homme",2019,"MEA","Oui","","",35000,NA,"",NA
"1775408658415940",21770,"Femme",2017,"GBA","Oui","","",21770,NA,"",NA
"1775413776498840",35333.3333333333,"Femme",2019,"GBA","Oui","","Oui",36833.3333333333,NA,"",NA
"1775413928705090",39000,"Femme",2019,"GBA","Oui","","Non",39000,39000,"",39000
"1775413930916400",31500,"Femme",2019,"IG","Oui","","Oui",36000,36000,"",36000
