Date,sexe,identifiant,date_diplome,filiere,nationalite_francaise,nationalite,remuneration_annuelle_brute,prime,remuneration_prime,remuneration_annuelle_brute_hors_prime_premier_emploi,prime_premier_emploi,remuneration_annuelle_brute_avec_prime_premier_emploi
12/05/2023 19:34,Femme,1877094908161080.0,2021,Matériaux (MAT),Oui,,,,,,,
12/05/2023 15:23,Homme,1788522987549900.0,2022,Mécanique et Interactions (MI),Oui,,,Oui,,,,
12/05/2023 11:58,Femme,1875368398704990.0,2020,Mécanique et Interactions (MI),Oui,,,,,,,
12/05/2023 10:22,Homme,1789638166758090.0,2021,Mécanique et Interactions (MI),Oui,,,,,28000.0,Non,28000.0
11/05/2023 21:59,Femme,1883495518818740.0,2022,Mécanique et Interactions (MI),Oui,,,,,,,
11/05/2023 21:53,Homme,1789471952345730.0,2022,Mécanique et Interactions (MI),Oui,,,,,,,
11/05/2023 21:25,Homme,1875955534469790.0,2022,Mécanique et Interactions (MI),Oui,,,Oui,,,,
11/05/2023 20:17,Homme,1857617044266120.0,2020,Sciences et Technologies de l'Eau (STE),Oui,,32000.0,Oui,32479.0,,,
11/05/2023 19:36,Homme,1782520393235650.0,2022,Mécanique et Interactions (MI),Oui,,,,,36000.0,Non,36000.0
11/05/2023 17:44,Homme,1793784710212640.0,2022,Sciences et Technologies de l'Eau (STE),Oui,,,,,,,
11/05/2023 15:51,Homme,1793841807785750.0,2022,Mécanique et Interactions (MI),Oui,,30000.0,Oui,33700.0,,,
11/05/2023 14:55,Homme,1898759976265950.0,2021,Mécanique et Interactions (MI),Oui,,,,,38000.0,Non,38000.0
11/05/2023 14:24,Femme,1819801253570700.0,2022,Mécanique et Interactions (MI),Oui,,,,,,Oui,
11/05/2023 13:53,Homme,1896056151835160.0,2022,Mécanique et Interactions (MI),Oui,,,,,,,
11/05/2023 10:56,Homme,1783106098956790.0,2020,Sciences et Technologies de l'Eau (STE),Oui,,10256.0,Non,10256.0,10256.0,Non,10256.0
10/05/2023 09:41,Homme,1782332270607280.0,2021,Mécanique et Interactions (MI),Oui,,,,,23000.0,Non,23000.0
