"identifiant","remuneration_annuelle_brute","sexe","date_diplome","filiere","nationalite_francaise","nationalite","prime","remuneration_prime","remuneration_annuelle_brute_hors_prime_premier_emploi","prime_premier_emploi","remuneration_annuelle_brute_avec_prime_premier_emploi","nationalite_grouped"
"1742932406541910",38000,"Homme",2017,"MEA","Non","14","Oui",39000,36000,"Non",36000,"14"
"1756804883322830",30600,"Femme",2019,"GBA","Oui","1","Non",32100,27000,"",27000,"1"
"1758523132419240",34750,"Homme",2017,"MAT","Oui","1","Oui",37500,31000,"",33000,"1"
"1758627194075820",34000,"Homme",2019,"EGC-app","Oui","1","Non",34000,NA,"",NA,"1"
"1759195102887890",31061.6666666667,"Femme",2020,"GBA","Oui","1","Oui",37000,NA,"",NA,"1"
"1766809397136680",51000,"Homme",2018,"STE","Non","25","Oui",62584.5,30500,"Oui",36000,"25"
"1766816750910820",36600,"Homme",2019,"SE-app","Oui","1","Oui",36933.3333333333,36000,"",36000,"1"
"1766816763108060",35000,"Homme",2019,"MEA","Oui","1","Non",35000,35000,"",35400,"1"
"1766816763164740",32500,"Homme",2018,"GBA","Oui","1","Oui",49500,NA,"",NA,"1"
"1766816841421730",28800,"Femme",2020,"IG","Oui","1","Non",28800,NA,"",NA,"1"
"1766817026164020",39000,"Homme",2019,"IG","Oui","1","Non",43000,40500,"",40500,"1"
"1766817679604640",36000,"Homme",2019,"IG","Oui","1","Oui",37000,NA,"",NA,"1"
"1766825151490760",25966.6666666667,"Femme",2019,"GBA","Oui","1","Oui",26633.3333333333,NA,"",NA,"1"
"1766828031937710",32000,"Homme",2017,"MAT","Oui","1","",33000,NA,"",NA,"1"
"1766828215737030",32400,"Homme",2019,"MEA","Oui","1","",32400,NA,"",NA,"1"
"1767188220767320",32668.3333333333,"Homme",2020,"STE","Oui","1","Non",34168.3333333333,NA,"",NA,"1"
"1767189237564080",38500,"Femme",2021,"GBA","Oui","1","",38500,NA,"",NA,"1"
"1767189251505240",32580,"Femme",2018,"GBA","Oui","1","Oui",40250,NA,"",NA,"1"
"1767189251615070",36250,"Femme",2018,"STE","Oui","1","Non",36250,NA,"",NA,"1"
"1767189979904520",31600,"Homme",2019,"IG","Oui","1","Non",31600,NA,"",NA,"1"
"1767190160340410",38666.6666666667,"Homme",2020,"EGC-app","Oui","1","Oui",47333.3333333333,NA,"",NA,"1"
"1767190268463680",42000,"Homme",2021,"MEA","Oui","1","",42000,NA,"",NA,"1"
"1767190347040890",37500,"Homme",2021,"STE","Oui","1","Non",37500,NA,"",NA,"1"
"1767198402827670",39000,"Homme",2021,"MAT","Oui","1","",42000,NA,"",NA,"1"
"1767362520512390",31000,"Homme",2019,"MEA","Oui","1","Oui",31500,NA,"",NA,"1"
"1767362688988250",28800,"Homme",2020,"EGC-app","Oui","1","",30100,NA,"",NA,"1"
"1767362704614120",23370,"Homme",2017,"GBA","Oui","1","Non",24562.5,18473,"",18473,"1"
"1767372926026850",33300,"Homme",2017,"MAT","Oui","1","Non",34250,31500,"",33000,"1"
"1767472869101240",39000,"Homme",2021,"MSI-app","Oui","1","",40000,NA,"",NA,"1"
"1767472951669570",42000,"Homme",2020,"EGC-app","Oui","1","Oui",43333.3333333333,NA,"",NA,"1"
"1767472960852670",34644,"Homme",2019,"IG","Oui","1","",36500,NA,"",NA,"1"
"1767472961734920",38000,"Homme",2019,"IG","Oui","1","Non",38000,NA,"",NA,"1"
"1767472964490090",39000,"Homme",2020,"MSI-app","Oui","1","",44950,NA,"",NA,"1"
"1767473044458750",33333.3333333333,"Homme",2020,"MEA","Oui","1","Non",35666.6666666667,NA,"",NA,"1"
"1767473052660650",34000,"Homme",2020,"IG","Oui","1","Oui",37000,NA,"",NA,"1"
"1767473227265950",43000,"Homme",2021,"MAT","Oui","1","",47000,NA,"",NA,"1"
"1767473236111210",30129,"Homme",2018,"GBA","Oui","1","Oui",33500,NA,"",NA,"1"
"1767638238509350",34433.3333333333,"Femme",2020,"IG","Oui","1","Non",35466.6666666667,NA,"",NA,"1"
"1767641526750820",35000,"Homme",2019,"IG","Oui","1","Oui",37500,NA,"",NA,"1"
"1767641628339300",30500,"Homme",2018,"IG","Oui","1","Oui",35000,NA,"",NA,"1"
"1767650767951450",32000,"Homme",2021,"MEA","Oui","1","Non",32000,31000,"",31000,"1"
"1767650860501100",35894,"Homme",2018,"MEA","Oui","1","Oui",36144,NA,"",NA,"1"
"1767739318980900",1e+05,"Femme",2020,"GBA","Non","Autre","Oui",105000,NA,"",NA,"Autre"
"1767827769134300",24042,"Femme",2017,"GBA","Oui","1","Non",24042,24000,"",24000,"1"
"1767827866609260",40000,"Femme",2018,"STE","Oui","1","",40000,21500,"Non",22500,"1"
"1767828041541670",23998.5,"Femme",2019,"STE","Oui","1","Non",24500,NA,"",NA,"1"
"1767828128912480",28800,"Femme",2021,"GBA","Oui","1","Oui",31400,NA,"",NA,"1"
"1767828133549130",32466.6666666667,"Femme",2019,"GBA","Oui","1","Oui",34666.6666666667,NA,"",NA,"1"
"1767833231783100",38690,"Femme",2017,"EGC-app","Oui","1","Oui",44000,NA,"",NA,"1"
"1767833231964470",30800,"Homme",2017,"IG","Oui","1","Oui",32000,35000,"",36000,"1"
"1767833242840040",35773.3333333333,"Homme",2020,"SE-app","Oui","1","Oui",36600,NA,"",NA,"1"
"1767833321202130",32553.5,"Homme",2018,"MEA","Oui","1","Non",32553.5,NA,"",NA,"1"
"1767833322084940",73149.6666666667,"Homme",2019,"IG","Oui","1","Non",77982.6666666667,NA,"",NA,"1"
"1767833324689620",38000,"Homme",2018,"IG","Oui","1","Oui",39000,NA,"",NA,"1"
"1767833412260590",75000,"Homme",2017,"MI","Oui","1","Oui",88500,NA,"",NA,"1"
"1767833504256240",39500,"Homme",2020,"MI","Oui","1","Oui",43338.5,NA,"",NA,"1"
"1767833604358820",47000,"Homme",2020,"MSI-app","Oui","1","",51000,48500,"Oui",49250,"1"
"1767838795874690",34000,"Homme",2020,"STE","Oui","1","",36000,NA,"",NA,"1"
"1767911677127430",58250,"Homme",2017,"STE","Oui","1","Oui",63300,NA,"",NA,"1"
"1768095949487950",40320,"Homme",2017,"MSI-app","Oui","1","",42320,NA,"",NA,"1"
