"identifiant","remuneration_annuelle_brute_avec_prime_premier_emploi","remuneration_prime","mois_emploi_occupe"
"1877069833744240",NA,31500,2
"1867772706661410",NA,33000,6
"1783164948056770",NA,36000,2
"1777070157836320",29000,NA,NA
"1885320205889630",NA,NA,NA
"1782336119224670",NA,32000,4
"1802846092404660",NA,NA,NA
"1782455519326140",NA,29000,7
"1782850313432270",NA,36000,5
"1783165082353270",NA,28200,7
"1776102214054560",NA,34344,6
"1776102349584110",32000,NA,NA
"1767833505039570",NA,NA,NA
"1789139230825060",NA,38000,6
"1789086561411020",NA,41000,6
"1794681019749420",NA,NA,NA
"1789078677755080",NA,NA,NA
"1882519960739120",NA,NA,6
"1889139174554320",20000,NA,NA
"1782851081127970",33000,NA,NA
"1882331879034060",NA,35500,1
"1798760225386290",37200,36000,2
"1789139014496940",NA,NA,NA
"1783551800309570",NA,32000,7
"1788742523348860",NA,29000,6
"1888636169617940",NA,28000,6
"1776170137315530",NA,41000,5
"1898486978428020",NA,30000,1
"1767833231964470",NA,32000,8
"1793984795250720",NA,33350,7
"1788578216657640",NA,28880,7
"1782464366155500",NA,30000,7
"1783297984544300",NA,31500,9
"1775503193890190",NA,30550,4
"1876018957403790",NA,34000,3
"1798891408458220",NA,31500,6
"1798487317038550",NA,29000,13
"1782714871390490",NA,34100,8
"1776621858821210",NA,29000,1
"1782529422968890",NA,31550,8
"1788460045238170",NA,38000,5
"1777059846996580",NA,31000,2
"1817047782834380",NA,NA,NA
"1868316565723330",NA,NA,NA
"1788414806499560",NA,28000,5
"1788468022230090",40000,26000,6
"1788742468660480",NA,NA,NA
"1894480386646310",NA,NA,NA
"1813820751836070",NA,32500,6
"1766828031937710",NA,NA,NA
"1793784660602810",27000,NA,NA
"1788410839633160",17760,NA,NA
"1794579283898940",NA,40000,4
"1857533979676060",NA,34000,4
"1788530287304060",NA,NA,NA
"1783100854322520",NA,33000,5
"1767372926026850",NA,33000,2
"1782921154332610",NA,NA,NA
"1794332564639310",NA,26000,7
"1775940845738490",NA,NA,NA
"1857533990210840",NA,40000,6
"1788692298075560",NA,33410,1
"1783292944879190",NA,NA,NA
"1882421156299700",NA,45000,6
"1789078743052160",NA,NA,NA
"1775261297609710",NA,33000,6
"1783483995976280",NA,39000,6
"1788635920274000",NA,28800,6
"1768095949487950",NA,NA,NA
"1793993174453520",NA,NA,6
"1789582997205270",NA,NA,NA
"1816751190430000",NA,NA,2
"1798761120459530",NA,NA,NA
"1782921034569700",NA,NA,NA
"1888404484035290",NA,NA,NA
"1889049454965750",NA,NA,6
"1889049477373780",NA,NA,3
"1767911677127430",NA,61000,6
"1782333055995110",NA,NA,NA
"1788524684447960",22500,27874,9
"1875413937800860",NA,NA,2
"1788522931505030",NA,30000,6
"1776094903038990",NA,NA,NA
"1793784763902670",NA,18000,1
"1783551669029900",NA,NA,6
"1788414814359190",NA,NA,NA
"1767833242749510",17763,28600,4
"1776629965327550",NA,26500,7
"1789022971236640",NA,30000,4
"1798711447134060",NA,24612,2
"1794779475018530",NA,NA,1
"1882920793866040",NA,36000,6
"1793838395539780",NA,NA,NA
"1767833231783100",NA,38000,3
"1783551662142720",NA,NA,NA
"1788410788041650",NA,30000,4
"1783429148215880",NA,37000,1
"1788522924813040",24000,28600,0
"1782333639834270",28000,NA,NA
"1775569932483610",NA,75000,1
"1782462668826500",NA,33500,7
"1767827769134300",NA,24000,6
