date,identifiant,sexe,nationalite_francaise,nationalite,annee_diplome,type_formation,filiere,situation_actuelle,en_recherche_emploi,nb_mois_recherche_emploi,refus_emploi,difficultés_recherche,alternance,poste_occupe,secteur_activite,autre_activite,statut_emploi,nature_contrat,duree_CDD,localisation_emploi,region_emploi,pays_localisation,temps_partiel,nb_mois_occupation_emploi,handicap,taille_entreprise,service_emploi,intitule_poste,statut_cadre,secteur_activite,domaine_entreprise,remuneration_annuelle_brute,prime,remuneration_prime,alternance,statut,nature_contrat_premier_emploi,intitule_premier_emploi,localisation_premier_emploi,region_premier_emploi,pays_premier_emploi,ville_premier_emploi,taille_entreprise_premier_emploi,secteur_activite_entreprise_premier_emploi,statut_cadre_premier_emploi,temps_partiel_premier_emploi,remuneration_annuelle_brute_hors_prime_premier_emploi,prime_premier_emploi,remuneration_annuelle_brute_avec_prime_premier_emploi
21/02/2019 22:28,"1,79468E+15",Homme,Oui,,2018,Formation initiale (hors apprentissage),Mécanique et Interactions (MI),En poursuite d études (hors thèse),,,,,Oui,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/02/2019 13:33,"1,89926E+15",Femme,Oui,,2016,Formation initiale (hors apprentissage),Génie Biologique et Agroalimentaires (GBA),En activité professionnelle,,,,,,,,Non,Salarié(e) du secteur public,CDI (contrat de travail à durée indéterminée) y compris CDIC,,En France,Nouvelle-Aquitaine,,Non,29.0,Non,250 à  4 999 salarié(e)s ,Production - Exploitation ,,Non,Industrie agroalimentaire ,,,,,,,,,,,,,,,,,,,
08/02/2019 17:46,"1,78387E+15",Femme,Oui,,2018,Formation initiale (hors apprentissage),Sciences et Technologies de l Eau (STE),En poursuite d études (hors thèse),,,,,Oui,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/02/2019 13:36,"1,7761E+15",Homme,Oui,,2017,Sous contrat d apprentissage,Systèmes Embarqués (SE - apprentissage),En thèse,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,CDI (contrat de travail à durée indéterminée) y compris CDIC,Ingénieur logiciel embarqué,En France,Auvergne-Rhône-Alpes,,montbonnot saint martin,5 000 salarié(e)s ou plus,"Sociétés de conseil, bureaux d études",Oui,Non,,,
08/02/2019 13:38,"1,78846E+15",Homme,Oui,,2018,Sous contrat de professionalisation,Matériaux (MAT),En activité professionnelle,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée) y compris CDIC,,En France,Occitanie,,Non,4.0,Non,De 20 à 49 salarié(e)s ,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Ingénieur BE,Oui,Métallurgie et fabrication de produits métalliques à l exception des machines et des équipements,Divers,28500.0,Non,28500.0,,,,,,,,,,,,,,,
08/02/2019 13:41,"1,8892E+15",Homme,Non,Tunisienne,2018,Formation initiale (hors apprentissage),Informatique et Gestion (IG),En activité professionnelle,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée) y compris CDIC,,En France,Auvergne-Rhône-Alpes,,Non,10.0,Non,De 10 à 19 salarié(e)s ,Informatique industrielle et technique ,Développeur web,Non,"Sociétés de conseil, bureaux d études",,32000.0,Oui,34000.0,,,,,,,,,,,,,,,
08/02/2019 13:41,"1,79379E+15",Homme,Oui,,2018,Formation initiale (hors apprentissage),Informatique et Gestion (IG),En activité professionnelle,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée) y compris CDIC,,A l étranger,,Royaume-Uni,Non,6.0,Non, Moins de 10 salarié(e)s ,Informatique industrielle et technique ,Full stack developer,Oui,Autres secteurs ,,51437.0,Non,51437.0,,,,,,,,,,,,,,,
11/02/2019 19:15,"1,88905E+15",Femme,Oui,,2018,Formation initiale (hors apprentissage),Sciences et Technologies de l Eau (STE),En activité professionnelle,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée) y compris CDIC,,En France,Nouvelle-Aquitaine,,Non,6.0,Non,De 20 à 49 salarié(e)s ,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Chargée d études en hydraulique,Oui,"Production et distribution d eau assainissement, gestion des déchets et dépollution",,28800.0,Oui,31000.0,,,,,,,,,,,,,,,
08/02/2019 13:46,"1,77707E+15",Homme,Oui,,2017,Formation initiale (hors apprentissage),Microélectronique Et Automatique (MEA),En thèse,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/02/2019 17:31,"1,8884E+15",Homme,Oui,,2017,Formation initiale (hors apprentissage),Sciences et Technologies de l Eau (STE),"En volontariat (VIE, VIA, Volontariat civil..)",,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,Agent contractuel,CDD (contrat de travail à durée déterminée),Chargé d études,En France,Île-de-France,,Nanterre,,"Administration d État, Collectivités territoriales, Hospitalière",Non,Non,27500.0,Non,27500.0
08/02/2019 13:46,"1,85753E+15",Femme,Oui,,2017,Formation initiale (hors apprentissage),Matériaux (MAT),En activité professionnelle,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée) y compris CDIC,,En France,Île-de-France,,Non,14.0,Non,250 à  4 999 salarié(e)s ,Assistance technique,Ingénieur soudage et contrôles,Oui,"Construction, BTP",BTP,34000.0,Non,34000.0,,,,,,,,,,,,,,,
08/02/2019 13:47,"1,78925E+15",Femme,Oui,,2017,Sous contrat de professionalisation,Génie Biologique et Agroalimentaires (GBA),En activité professionnelle,,,,,,,,Oui,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée) y compris CDIC,,En France,Occitanie,,Non,3.0,,De 50 à 249 salarié(e)s ,Etudes - Conseil et expertise (autre qu'informatique),Consultante en innovation,Oui,"Sociétés de conseil, bureaux d études",,29000.0,Oui,31000.0,Non,,,,,,,,,,,,,,
08/02/2019 13:49,"1,78908E+15",Femme,Oui,,2016,Formation initiale (hors apprentissage),Génie Biologique et Agroalimentaires (GBA),Sans activité volontairement,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,CDD (contrat de travail à durée déterminée),Technicienne qualité ,En France,Occitanie,,Vergeze,250 à  4 999 salarié(e)s ,Industrie agroalimentaire ,Non,Non,19200.0,Oui,21600.0
08/02/2019 13:49,"1,77611E+15",Homme,Oui,,2016,Formation initiale (hors apprentissage),Matériaux (MAT),En activité professionnelle,,,,,,,,Oui,Salarié(e) secteur privé (y compris structure associative),CDD (contrat de travail à durée déterminée),12.0,En France,Provence-Alpes-Côte d Azur,,Non,3.0,Non,5 000 salarié(e)s ou plus,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Ingénieur R&D,Oui,Recherche-développement scientifique,Elaboration et caractérisation des matériaux,35000.0,Non,35000.0,,,,,,,,,,,,,,,
08/02/2019 13:52,"1,7831E+15",Homme,Oui,,2018,Sous contrat d apprentissage,Systèmes Embarqués (SE - apprentissage),En activité professionnelle,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée) y compris CDIC,,En France,Occitanie,,Non,5.0,Non,250 à  4 999 salarié(e)s ,Informatique industrielle et technique ,Concepteur logiciel,Oui,"Industrie automobile, aéronautique, navale, ferroviaire",,36000.0,Oui,40000.0,,,,,,,,,,,,,,,
08/02/2019 13:53,"1,76736E+15",Homme,Oui,,2017,Formation initiale (hors apprentissage),Génie Biologique et Agroalimentaires (GBA),En recherche emploi,Non,5.0,Oui,Manque d expérience professionnelle|Difficulté à mettre en valeur mes compétences,,,,Oui,,,,,,,,,,,,,,,,,,,,,CDD (contrat de travail à durée déterminée),technicien de laboratoire,En France,Pays de la Loire,,nantes,250 à  4 999 salarié(e)s ,Industrie agroalimentaire ,Non,Non,18254.0,Oui,18254.0
26/02/2019 15:15,"1,88905E+15",Femme,Oui,,2017,Formation initiale (hors apprentissage),Sciences et Technologies de l Eau (STE),En activité professionnelle,,,,,,,,Oui,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée) y compris CDIC,,En France,Provence-Alpes-Côte d Azur,,Non,3.0,Non,250 à  4 999 salarié(e)s ,Etudes - Conseil et expertise (autre qu'informatique),Ingénieur process,Oui,"Autres industries (bois, imprimerie, fabrication, réparation et installation de machines et d équipements, ...)",,,Oui,,,,CDI (contrat de travail à durée indéterminée) y compris CDIC,Chargée d études,En France,Provence-Alpes-Côte d Azur,,,De 10 à 19 salarié(e)s ,"Production et distribution d eau assainissement, gestion des déchets et dépollution",Non,Non,,Non,
08/02/2019 13:54,"1,79384E+15",Femme,Oui,,2016,Formation initiale (hors apprentissage),Génie Biologique et Agroalimentaires (GBA),En activité professionnelle,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée) y compris CDIC,,En France,Grand Est,,Non,22.0,Non,De 50 à 249 salarié(e)s ,Production - Exploitation ,Ordonnanceur / planificateur,Oui,Industrie agroalimentaire ,,32000.0,Oui,35000.0,,,,,,,,,,,,,,,
08/02/2019 16:04,"1,80673E+15",Homme,Oui,,2017,Formation initiale (hors apprentissage),Sciences et Technologies de l Eau (STE),En activité professionnelle,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée) y compris CDIC,,En France,Occitanie,,Non,7.0,Non,De 10 à 19 salarié(e)s ,Production - Exploitation ,Chargé de mission hydraulique ,Non,"Autres activités spécialisées, scientifiques et techniques",,19000.0,Non,19000.0,,,,,,,,,,,,,,,
10/04/2019 14:15,"1,78234E+15",Femme,Oui,,2016,Formation initiale (hors apprentissage),Sciences et Technologies de l Eau (STE),En activité professionnelle,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée) y compris CDIC,,En France,Île-de-France,,Non,24.0,Non,De 20 à 49 salarié(e)s ,Etudes - Conseil et expertise (autre qu'informatique),Ingénieure d études,Oui,"Sociétés de conseil, bureaux d études",,28800.0,Non,28800.0,,,,,,,,,,,,,,,
11/02/2019 15:45,"1,78942E+15",Femme,Oui,,2018,Formation initiale (hors apprentissage),Génie Biologique et Agroalimentaires (GBA),En activité professionnelle,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée) y compris CDIC,,En France,Île-de-France,,Non,5.0,Non,De 10 à 19 salarié(e)s ,"Qualité, sécurité, sûreté de fonctionnement ",Responsable qualité,Oui,Industrie agroalimentaire ,,31200.0,Non,31200.0,,,,,,,,,,,,,,,
08/02/2019 14:12,"1,78233E+15",Homme,Oui,,2018,Formation initiale (hors apprentissage),Matériaux (MAT),En activité professionnelle,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée) y compris CDIC,,En France,Provence-Alpes-Côte d Azur,,Non,5.0,Non,250 à  4 999 salarié(e)s ,Production - Exploitation ,Concepteur de pieces pour le nucleaire,Oui,"Sociétés de conseil, bureaux d études","Energie, électronique, électrotechnique",32500.0,Non,32500.0,,,,,,,,,,,,,,,
