Date,Genre,identifiant,nationalite_francaise,nationalite,annee_obtention_diplome,type_formation,filiere,situation_actuelle, tes-vous ‡ la recherche d un emploi depuis la sortie de l Ècole ? ,Depuis combien de mois Ítes-vous en recherche d emploi ? ,difficultés_recherche,autre_activite,statut_emploi,Avez-vous un statut de :,nature_contrat,duree_CDD,localisation_emploi,region_premier_emploi,pays_emploi,temps_partiel,temps_partiel_voulu,mois_emploi_occupe,nom_entreprise,taille_entreprise,appartient_groupe,nom_groupe,fonction_principale,intitule_poste,statut_cadre,secteur_activite_entreprise,domaine_entreprise,domaine_divers,langage_info,Vos activitÈs actuelles font appel ‡ vos compÈtences en,energie_renouvelable,salaire_annuel_brute_hors_prime,prime,salaire_annuel_avec_prime,responsabilite_hierarchie,responsabilite_budget,responsabilite_equipe,responsabilite_projet,fonction_international,langue_francais,langue_anglais,temps_trouve_emploi,moyen_trouver_emploi,critere_choix_emploi,emploi_niveau_qualification,emploi_formation,satisfaction_emploi,condition_travail,relation_collegues,niveau_remuneration,niveau_autonomie,jugement_localisation,Vous recherchez un autre emploi?,raisons_recherche_emploi,entreprise_developpement_durable,mission_developpement_durable,situation_sortie_polytech,refus_emploi,Concours prÈparÈ(s).1,DurÈe du contrat de volontariat (en mois).1,Pays ou territoire du volontariat.1,Nom et coordonnÈes de l entreprise partenaire.1,Le laboratoire est-il localisÈ?.1,RÈgion de localisation du laboratoire.1,Pays de localisation du laboratoire?.1,Lequel ou lesquels?.1,Le site web s il existe?.1,temps_trouve_premier_emploi,post_premier_emploi,nature_contrat_premier_emploi,Quelle fut la durÈe de votre CDD? ,condition_fin_premier_contrat,intitule_premier_emploi,localisation_premier_emploi,Dans quelle rÈgion?.1,pays_premier_emploi,nom_entreprise_premier_emploi,"Adresse ( numero, rue, avenue..)de l entreprise.1",Code postal de l entreprise.1,Commune de l entreprise.1,taille_entreprise_premier_emploi,premiere_entreprise_groupe,Lequel?.1,secteur_premiere_entreprise,anciennete_premier_emploi,status_cadre_premier_emploi,temps_partiel_premier_emploi,moyen_trouver_premier_emploi,critere_choix_premier_emploi,remuneration_annuelle_brute_hors_prime_premier_emploi,prime_premier_emploi,remuneration_annuelle_brute_avec_prime_premier_emploi,Les ÈlÈments suivants vous semblent-ils avoir jouÈ un rÙle dans votre recrutement sur ce 1er emploi? - Stage de 4Ëme annÈe,satisfaction_premier_emploi,satisfaction_formation,ig_avantage_double_competence,ig_membre_reseau,projet_evolution_carriere,recommandation_polytech
20/01/2020 15:55,Femme,1888802848469470,Oui,,2017,Sous contrat de professionalisation,GÈnie Biologique et Agroalimentaires (GBA),En activitÈ professionnelle,,,,Oui,SalariÈ(e) secteur privÈ (y compris structure associative),,CDI (contrat de travail ‡ durÈe indÈterminÈe),0.0,A l'Ètranger,,Royaume-Uni,Non,,3.0,PPD,250 ‡  4 999 salariÈ(e)s ,Non,,"QualitÈ, sÈcuritÈ, s˚retÈ de fonctionnement ",SpÈcialiste en information mÈdicale ,Non,Industrie pharmaceutique,,,,,,41000.0,Non,41000.0,NON,NON,NON,NON,Oui,Quotidiennement,Quotidiennement,6 mois ou plus,"RÈseau social professionnel (viadÈo, Linkedln)",Le lieu gÈographique ,non,oui,3.0,4.0,4.0,4.0,3.0,3.0,Non,,Tout ‡ fait d'accord,PlutÙt en dÈsaccord,activitÈ professionnelle,,,,,,,,,,,Emploi trouvÈ avant l'obtention de votre diplÙme,SalariÈ(e) du secteur privÈ (y compris structure associative),"CTT (contrat de travail temporaire, mission d'intÈrim)",0.0,Fin de contrat ou fin de mission,Assistante QualitÈ ,En France,Grand Est,,Entremont,,52000,,250 ‡  4 999 salariÈ(e)s ,Oui,SODIAAL ,Industrie agroalimentaire ,12.0,Non,Non,Stage annÈe cÈsure/ Contrat de professionnalisation ,L'adÈquation avec un projet professionnel ,24000.0,Oui,27000.0,4.0,1.0,3.0,,,,Non
21/01/2020 18:29,Homme,1777059846996580,Oui,,2017,Formation initiale (hors apprentissage),MatÈriaux (MAT),En activitÈ professionnelle,,,,Non,SalariÈ(e) secteur privÈ (y compris structure associative),,CDI (contrat de travail ‡ durÈe indÈterminÈe),0.0,En France,Occitanie,,Non,,24.0,Alten,5 000 salariÈ(e)s ou plus,Non,,"QualitÈ, sÈcuritÈ, s˚retÈ de fonctionnement ",IngÈnieur qualitÈ ,Oui,"SociÈtÈs de conseil ou d'ingÈnieurie, bureaux d'Ètudes indÈpendants",Transport,,,,,32000.0,Oui,33000.0,NON,NON,NON,OUI,Oui,Quotidiennement,Quotidiennement,,Site Internet spÈcialisÈ dans l'emploi (dont APEC),Les perspectives de carriËre dans cette entreprise,oui,oui,4.0,4.0,5.0,3.0,4.0,5.0,Non,,PlutÙt d'accord,PlutÙt d'accord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,Oui
11/01/2020 10:12,Femme,1789080967437430,Oui,,2017,Formation initiale (hors apprentissage),Sciences et Technologies de l'Eau (STE),En activitÈ professionnelle,,,,Oui,SalariÈ(e) secteur privÈ (y compris structure associative),,CDI (contrat de travail ‡ durÈe indÈterminÈe),0.0,En France,Provence-Alpes-CÙte d'Azur,,Non,,14.0,Cnim,250 ‡  4 999 salariÈ(e)s ,Oui,Cnim,Production - Exploitation ,IngÈnieur process ,Oui,Industrie chimique,,,,Traitement / Assainissement,,,Oui,,NON,NON,NON,NON,Oui,Quotidiennement,Rarement (quelques fois par mois),,Candidature spontannÈe,Les perspectives de carriËre dans cette entreprise,oui,non,4.0,3.0,4.0,4.0,4.0,5.0,Non,,Tout ‡ fait d'accord,PlutÙt d'accord,activitÈ professionnelle,,,,,,,,,,,Emploi trouvÈ avant l'obtention de votre diplÙme,SalariÈ(e) du secteur privÈ (y compris structure associative),CDI (contrat de travail ‡ durÈe indÈterminÈe),0.0,"DÈmission, vous aviez une autre proposition de contrat",,En France,Provence-Alpes-CÙte d'Azur,,Groupe sae ,,,Tourves,De 10 ‡ 19 salariÈ(e)s ,Oui,Groupe sae,"Production et distribution d'eau assainissement, gestion des dÈchets et dÈpollution",,Non,,Stage de fin d'Ètudes,L'intÈrÍt du travail en lui-mÍme,,Non,,,,4.0,,,,
10/01/2020 16:43,Homme,1882881049834530,Oui,,2017,Formation initiale (hors apprentissage),MicroÈlectronique Et Automatique (MEA),En activitÈ professionnelle,,,,Non,SalariÈ(e) secteur privÈ (y compris structure associative),,CDI (contrat de travail ‡ durÈe indÈterminÈe),0.0,En France,Occitanie,,Non,,28.0,IoTerop,De 10 ‡ 19 salariÈ(e)s ,Non,,Informatique industrielle et technique ,IngÈnieur embarquÈ systËme,Oui,TÈlÈcommunications,,,C|Python,,,33000.0,Non,33000.0,NON,NON,NON,OUI,Oui,Quotidiennement,Quotidiennement,Emploi trouvÈ avant l'obtention de votre diplÙme,Relations personnelles,Les perspectives de carriËre dans cette entreprise,oui,non,4.0,5.0,4.0,3.0,5.0,4.0,Non,,Pas du tout d'accord,Pas du tout d'accord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,Oui
10/01/2020 18:26,Homme,1806734045417840,Oui,,2017,Formation initiale (hors apprentissage),Sciences et Technologies de l'Eau (STE),En activitÈ professionnelle,,,,Oui,SalariÈ(e) secteur privÈ (y compris structure associative),,CDIC (contrat de travail ‡ durÈe indÈterminÈe de chantier ou d'opÈration),0.0,En France,Auvergne-RhÙne-Alpes,,Non,,1.0,Sopra Steria ,250 ‡  4 999 salariÈ(e)s ,Oui,,Assistance technique,Appuie support informatique ,Oui,ActivitÈs informatiques et services d'information (TIC services),,,,Hydraulique / Hydrologie|Informatique,,26000.0,Non,26000.0,NON,NON,NON,NON,Non,Quotidiennement,Jamais,De 5 ‡ moins de 6 mois,Site Internet spÈcialisÈ dans l'emploi (dont APEC),L'absence d'alternative,oui,non,3.0,4.0,5.0,3.0,2.0,4.0,Non,,PlutÙt d'accord,PlutÙt en dÈsaccord,activitÈ professionnelle,,,,,,,,,,,6 mois ou plus,SalariÈ(e) du secteur privÈ (y compris structure associative),CDD (contrat de travail ‡ durÈe dÈterminÈe),12.0,Fin de contrat ou fin de mission,Charge d'Ètude en Hydraulique urbain,En France,Occitanie,,Eten-environnement ,,,Negrepellisse ,De 10 ‡ 19 salariÈ(e)s ,Non,,"Autres activitÈs spÈcialisÈes, scientifiques et techniques",12.0,Non,Non,"RÈseau social professionnel (ViadÈo, Linkedln)",L'intÈrÍt du travail en lui-mÍme,21000.0,Oui,21500.0,3.0,2.0,4.0,,,Aucun ‡ ce jour ,Oui
13/01/2020 09:25,Homme,1982920793866040,Oui,,2017,Sous contrat d'apprentissage,Eau et GÈnie Civil (EGC - apprentissage),En activitÈ professionnelle,,,,Non,SalariÈ(e) secteur privÈ (y compris structure associative),,CDI (contrat de travail ‡ durÈe indÈterminÈe),0.0,En France,Provence-Alpes-CÙte d'Azur,,Non,,16.0,Eiffage GÈnie Civil,5 000 salariÈ(e)s ou plus,Oui,Eiffage,Production - Exploitation ,IngÈnieur Travaux,Oui,"Construction, BTP",,,,,,36000.0,Oui,40000.0,OUI,OUI,OUI,OUI,Non,Quotidiennement,Rarement (quelques fois par mois),,Apprentissage (embauche dans l'entreprise d'accueil du contrat),La notoriÈtÈ de l'entreprise ,oui,oui,3.0,3.0,4.0,3.0,4.0,4.0,Non,,PlutÙt d'accord,PlutÙt en dÈsaccord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,Probablement une Èvolution dans la conduite de projet,Oui
10/01/2020 21:22,Femme,1783045885270760,Oui,,2017,Formation initiale (hors apprentissage),GÈnie Biologique et Agroalimentaires (GBA),En activitÈ professionnelle,,,,Oui,SalariÈ(e) secteur privÈ (y compris structure associative),,CDI (contrat de travail ‡ durÈe indÈterminÈe),0.0,En France,Pays de la Loire,,Non,,1.0,Les serres de la piogerie,250 ‡  4 999 salariÈ(e)s ,Oui,,Production - Exploitation ,,Oui,Industrie agroalimentaire ,,,,,,37000.0,Oui,40000.0,OUI,NON,OUI,OUI,Non,Quotidiennement,Rarement (quelques fois par mois),,DÈmarchÈ(e) par un 'chasseur de tÍtes',L'adÈquation avec un projet professionnel ,oui,oui,5.0,5.0,5.0,4.0,5.0,5.0,Non,,Tout ‡ fait d'accord,Tout ‡ fait d'accord,activitÈ professionnelle,,,,,,,,,,,Moins d'un mois,SalariÈ(e) du secteur privÈ (y compris structure associative),CDI (contrat de travail ‡ durÈe indÈterminÈe),0.0,"DÈmission, sans autre proposition de contrat",Chef d'Èquipe- ingÈnieure production,En France,Occitanie,,Lactalis,,44800,Le Massegros,5 000 salariÈ(e)s ou plus,Oui,Lactalis,Industrie agroalimentaire ,24.0,Non,Non,"RÈseau social professionnel (ViadÈo, Linkedln)",La notoriÈtÈ de l'entreprise ,32500.0,Oui,36000.0,5.0,1.0,5.0,,,,Oui
11/01/2020 11:28,Femme,1775640761912420,Non,Tunisienne,2017,Sous contrat de professionalisation,GÈnie Biologique et Agroalimentaires (GBA),En activitÈ professionnelle,,,,Non,SalariÈ(e) secteur privÈ (y compris structure associative),,CDI (contrat de travail ‡ durÈe indÈterminÈe),0.0,En France,Occitanie,,Non,,29.0,Impac ingenierie ,250 ‡  4 999 salariÈ(e)s ,Oui,MPA,,Clinical Supply Packaging Manager ,Oui,Industrie pharmaceutique,,,,,,39000.0,Oui,39000.0,NON,NON,NON,OUI,Oui,Quotidiennement,Souvent (plusieurs heures par semaine),,Stage annÈe cÈsure / Contrat de professionnalisation,Le secteur d'activitÈ de l'entreprise,oui,non,4.0,4.0,5.0,4.0,4.0,3.0,Non,,PlutÙt en dÈsaccord,PlutÙt d'accord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,Oui
10/01/2020 16:12,Homme,1776102349584110,Oui,,2017,Sous contrat d'apprentissage,SystËmes EmbarquÈs (SE - apprentissage),En thËse,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,Expertise technique / Management de l'innovation,Oui
10/01/2020 18:53,Homme,1888636169617940,Oui,,2017,Formation initiale (hors apprentissage),Informatique et Gestion (IG),En activitÈ professionnelle,,,,Oui,SalariÈ(e) secteur privÈ (y compris structure associative),,CDI (contrat de travail ‡ durÈe indÈterminÈe),0.0,En France,Occitanie,,Non,,11.0,Altran,5 000 salariÈ(e)s ou plus,Non,,Etudes et dÈveloppement en systËmes d'information ,Consultant,Oui,ActivitÈs informatiques et services d'information (TIC services),,,,,,32000.0,Non,32000.0,NON,NON,NON,NON,Non,Quotidiennement,Souvent (plusieurs heures par semaine),De 1 ‡ moins de 2 mois,Relations personnelles,La politique globale de relations humaines dans l'entreprise ,oui,oui,4.0,5.0,5.0,3.0,3.0,5.0,Non,,PlutÙt en dÈsaccord,Pas du tout d'accord,activitÈ professionnelle,,,,,,,,,,,Emploi trouvÈ avant l'obtention de votre diplÙme,SalariÈ(e) du secteur privÈ (y compris structure associative),CDI (contrat de travail ‡ durÈe indÈterminÈe),0.0,Rupture conventionnelle,Analyste developpeur,En France,Occitanie,,Acelys,,,,De 50 ‡ 249 salariÈ(e)s ,Non,,ActivitÈs informatiques et services d'information (TIC services),11.0,Oui,Non,Candidature spontannÈe,La politique globale de relations humaines dans l'entreprise ,30000.0,Non,30000.0,,1.0,2.0,NON,NON,,Oui
