Genre,identifiant,nationalite_francaise,nationalite,date_diplome,type_formation,Région de votre entreprise d'accueil,"Durant vos études, vous avez bénéficié d'aménagements de scolarité liés à un handicap, ou vous vous êtes déclaré en situation d'handicap auprès de votre établissement",filiere,situation_actuelle,"'Sans activité volontairement', merci de préciser :",Vous occupez plusieurs emplois?,en_recherche_emploi,refus_emploi,difficultes_recherche,Concours préparé(s),alternance,Durée du contrat de volontariat (en mois) ,Montant brut annuel HORS PRIME de l'allocation que vous percevez,Quel est le poste que vous occupez?,Votre courriel professionnel :,Quel est le nom de votre entreprise / projet?,Pays de localisation de la future entreprise?,autre_activite,statut_emploi,nature_contrat,duree_CDD,localisation_emploi,region_premier_emploi,pays_localisation,Vous travaillez,mois_emploi_occupe,Combien de jours par semaine êtes-vous en télétravail ? ,nom_entreprise,"Adresse ( numero, rue, avenue..)de l'entreprise",Code postal de l'entreprise,Commune de l'entreprise, Son site internet?,Nombre de salarié(e)s de votre entreprise(cellei qui vous rémunère),entreprise_groupe,groupe,departement_emploi,intitule_emploi,cadre,Quel est le secteur d'activité de votre entreprise (celle qui vous rémunère)?,domaine_general_entreprise,langage_programmation,emploi_lie_energie_renouvelable,salaire_annuel_brut,prime,salaire_annuel_brut_prime,responsabilite_hierarchie,responsabilite_budget,Responsabilités exercées [Vous avez la responsabilité fonctionnelle  d'une équipe ?],responsabilite ,international,langue_français,langue_anglais,temps_trouve_emploi,moyen_trouver_emploi,critere_choix_emploi,emploi_niveau_qualification,emploi_formation,satisfaction_emploi,condition_travail,relation_collegues,niveau_remuneration,niveau_autonomie,jugement_localisation,Les éléments suivants vous semblent-ils avoir joué un rôle dans votre recrutement? [Stage de 5ème année /Contrat de professionnalisation],recherche_nouvel_emploi,raisons_recherche_emploi,situation_sortie_polytech,Concours préparé(s)5,Pays ou territoire du volontariat6,Nom et coordonnées de l'entreprise partenaire7,Le laboratoire est-il localisé?8,Région de localisation du laboratoire9,Pays de localisation du laboratoire?10,Lequel ou lesquels?11,Le site web s'il existe?12,temps_trouve_premier_emploi,post_premier_emploi,Aviez-vous un statut de :,nature_contrat,condition_fin_premier_contrat,intitule_premier_emploi,location_premier_emploi,Dans quelle région?13,nom_entreprise_premier_emploi,"Adresse ( numero, rue, avenue..)de l'entreprise14",Code postal de l'entreprise15,Commune de l'entreprise16,taille_entreprise_premier_emploi,premiere_entreprise_groupe,Lequel?17,secteur_premiere_entreprise,mois_premiere_entreprise,status_cadre_premier_emploi,temps_partiel_premier_emploi,moyen_trouver_premier_emploi,critere_choix_premier_emploi,remuneration_annuelle_brute_premier_emploi,prime_premier_emploi,remuneration_prime_premier_emploi,Les éléments suivants vous semblent-ils avoir joué un rôle dans votre recrutement sur ce 1er emploi? [Stage de 5ème année/Contrat de professionnalisation],satisfaction_premier_emploi,La situation sanitaire a-t-elle eu un impact pour vous ?,Merci de préciser les raisons,satisfaction_formation,ig_avantage_double_competence,ig_membre_reseau,Laquelle?,Souhaitez vous être informé sur l' association des diplômés de Polytech (Polytech Connect)?,recommandation_polytech
Homme,1802845972740320,Oui,,2019,Sous contrat de professionalisation,,Non,Mécanique et Interactions (MI),En recherche emploi,,,Non,Non,Manque d'expérience professionnelle|Peu d'offres d'emploi,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,activité professionnelle,,,,,,,,,Emploi trouvé avant l'obtention de votre diplôme,Salarié(e) du secteur privé (y compris structure associative),,CDI (contrat de travail à durée indéterminée),Licenciement,référent emboutissage presses hydrauliques,En France,Centre-Val de Loire,coaero,Rue du Clos de Marolles,28130,Pierres,De 50 à 249 salarié(e)s ,Oui,jogam,Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements,13.0,Oui,Non,Apprenti(e) : Embauché(e) par l'entreprise d'apprentissage,L'adéquation avec un projet professionnel ,32500.0,Oui,35000.0,5.0,3.0,Oui,Chômage partiel / Réduction d'activité|Perte d'emploi / Cessation d'activité,4.0,,,,Oui,Oui
Homme,1789357128908910,Oui,,2020,Formation initiale (hors apprentissage),,Non,Microélectronique Et Automatique (MEA),En activité professionnelle,,Non,,,,,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDD (contrat de travail à durée déterminée),12.0,En France,Centre-Val de Loire,,À temps plein,5.0,0.0,Moduleus,34 Rue Pierre et Marie Curie,37100,Tours,http://moduleus.com/,De 20 à 49 salarié(e)s ,Oui,Doliam,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Ingénieur Hardware & Software,Oui,Recherche-développement scientifique,,C|C++|VHDL,,36000.0,Non,36000.0,NON,NON,NON,NON,Non,Quotidiennement,Quotidiennement,Emploi trouvé avant l'obtention de votre diplôme,stage de fin d'études,Le contenu de la mission / poste proposé,oui,oui,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Recours au télétravail|Difficulté pour le stage de fin d'études,5.0,,,,Oui,Oui
Homme,1868316566701450,Oui,,2018,Formation initiale (hors apprentissage),,Non,Matériaux (MAT),En activité professionnelle,,Non,,,,,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Pays de la Loire,,À temps plein,22.0,4.0,Medysys,,91400,,,De 20 à 49 salarié(e)s ,Non,,Ingénieur Calcul,Ingénieur Calcul,Oui,"Sociétés de conseil ou d'ingénieurie, bureaux d'études indépendants",Divers,,,33000.0,Non,33000.0,NON,NON,NON,NON,Non,Quotidiennement,Rarement (quelques fois par mois),De 2 à moins de 3 mois,Site Internet spécialisé dans l'emploi (dont APEC),L'adéquation avec un projet professionnel ,oui,oui,4.0,4.0,5.0,3.0,2.0,4.0,4.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Recours au télétravail|Prétention salariale revue,5.0,,,,Non,Oui
Femme,1806661953120000,Oui,,2019,Formation initiale (hors apprentissage),,Non,Génie Biologique et Agroalimentaires (GBA),En activité professionnelle,,Non,,,,,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Occitanie,,À temps plein,18.0,0.0,Nestlé Waters Supply Sud,Les Bouillens ,30310,Vergeze ,https://www.nestle-waters.fr/,250 à  4 999 salarié(e)s ,Oui,Nestle,Production - Exploitation ,Responsable d'équipe de production individuel,Non,Industrie agroalimentaire ,,,,38000.0,Oui,41000.0,OUI,NON,OUI,OUI,Non,Quotidiennement,Très rarement,,stage de fin d'études,L'adéquation avec un projet professionnel ,oui,oui,4.0,4.0,4.0,4.0,3.0,4.0,5.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Chômage partiel / Réduction d'activité,4.0,,,,Oui,Oui
Femme,1894585798284970,Oui,,2018,Formation initiale (hors apprentissage),,Non,Matériaux (MAT),En thèse,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Recours au télétravail|Missions modifiées|Chômage partiel / Réduction d'activité,,,,,Oui,Oui
Homme,1768556234866690,Oui,,2020,Formation initiale (hors apprentissage),,Non,Matériaux (MAT),En thèse,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,4.0,,,,Oui,Non
Homme,1789139176706330,Oui,,2020,Sous contrat de professionalisation,,Non,Matériaux (MAT),En recherche emploi,,,Oui,Oui,"Peu d'offres d'emploi|""Covid""",,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Chômage partiel / Réduction d'activité|Annulation d'embauche|Moins de propositions de recrutement|Moins d'offres d'emploi|Difficulté dans l'entreprise d'apprentissage,4.0,,,,Non,Oui
Homme,1783551661470470,Oui,,2019,Sous contrat d'apprentissage,Provence-Alpes-Côte d'Azur,Non,Mécanique Structures Industrielles (MSI - apprentissage),En activité professionnelle,,Non,,,,,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Provence-Alpes-Côte d'Azur,,À temps plein,16.0,0.0,AMETRA,"04 42 50 05 32 , 9 avenue des ribas",13770,Venelles,https://www.ametragroup.com/fr/,250 à  4 999 salarié(e)s ,Oui,AMETRA GROUP,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Ingénieur Conception Mécanique,Oui,Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements,,,,35000.0,Oui,38000.0,NON,NON,NON,NON,Non,Quotidiennement,Souvent (plusieurs heures par semaine),,Site Internet spécialisé dans l'emploi (dont APEC),Le contenu de la mission / poste proposé,oui,oui,4.0,5.0,5.0,3.0,5.0,4.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Recours au télétravail|Chômage partiel / Réduction d'activité,4.0,,,,Non,Oui
Femme,1788516818654960,Oui,,2020,Sous contrat d'apprentissage,Nouvelle-Aquitaine,Non,Eau et Génie Civil (EGC - apprentissage),En poursuite d'études (hors thèse),,,,,,,Oui,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Recours au télétravail|Moins de propositions de recrutement|Moins d'offres d'emploi|Prétention salariale revue,4.0,,,,Oui,Oui
Femme,1782332987613640,,,2020,Sous contrat de professionalisation,,Non,Génie Biologique et Agroalimentaires (GBA),En recherche emploi,,,Oui,Non,Mobilité géographique difficile|Manque d'expérience professionnelle|Salaire proposé insuffisant,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,4.0,,,,Oui,Oui
