Genre,identifiant,nationalite_francaise,nationalite,date_diplome,type_formation,filiere,situation_actuelle,en_recherche_emploi,temps_recherche_emploi,refus_emploi,difficultes_recherche,alternance,post_actuel,autre_activite,statut_emploi,nature_contrat,duree_CDD,localisation_emploi,region_emploi,pays_localisation,mois_emploi_occupe,jours_télétravail,nom_entreprise,Nombre de salarié(e)s de votre entreprise(cellei qui vous rémunère),entreprise_groupe,groupe,departement_emploi,intitule_emploi,cadre,secteur_activite_entreprise,domaine_general_entreprise,langage_programmation,emploi_lie_energie_renouvelable,salaire_annuel_brut,prime,salaire_annuel_brut_prime,responsabilite_hierarchie,responsabilite_budget,responsabilite_equipe,responsabilite ,international,langue_français,langue_anglais,temps_trouve_emploi,moyen_trouver_emploi,critere_choix_emploi,emploi_niveau_qualification,emploi_formation,satisfaction_emploi,condition_travail,relation_collegues,niveau_remuneration,niveau_autonomie,jugement_localisation,recherche_nouvel_emploi,raisons_recherche_emploi,Unnamed: 133,situation_sortie_polytech,temps_trouve_premier_emploi,post_premier_emploi,nature_contrat,condition_fin_premier_contrat,intitule_premier_emploi,location_premier_emploi,region_premier_emploi,nom_entreprise_premier_emploi,taille_entreprise_premier_emploi,premiere_entreprise_groupe,premier_groupe,secteur_premiere_entreprise,mois_premiere_entreprise,status_cadre_premier_emploi,temps_partiel_premier_emploi,moyen_trouver_premier_emploi,critere_choix_premier_emploi,remuneration_annuelle_brute_premier_emploi,prime_premier_emploi,remuneration_prime_premier_emploi,satisfaction_premier_emploi,impact_covid,satisfaction_formation,ig_avantage_double_competence,ig_membre_reseau,recommandation_polytech
Homme,1802845972740320,Oui,,2019,Sous contrat de professionalisation,Mécanique et Interactions (MI),En recherche emploi,Non,3.0,Non,Manque d'expérience professionnelle|Peu d'offres d'emploi,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,activité professionnelle,Emploi trouvé avant l'obtention de votre diplôme,Salarié(e) du secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),Licenciement,référent emboutissage presses hydrauliques,En France,Centre-Val de Loire,coaero,De 50 à 249 salarié(e)s ,Oui,jogam,Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements,13.0,Oui,Non,Apprenti(e) : Embauché(e) par l'entreprise d'apprentissage,L'adéquation avec un projet professionnel ,32500.0,Oui,35000.0,3.0,Chômage partiel / Réduction d'activité|Perte d'emploi / Cessation d'activité,4.0,,,Oui
Homme,1789357128908910,Oui,,2020,Formation initiale (hors apprentissage),Microélectronique Et Automatique (MEA),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDD (contrat de travail à durée déterminée),12.0,En France,Centre-Val de Loire,,5.0,0.0,Moduleus,De 20 à 49 salarié(e)s ,Oui,Doliam,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Ingénieur Hardware & Software,Oui,Recherche-développement scientifique,,C|C++|VHDL,,36000.0,Non,36000.0,NON,NON,NON,NON,Non,Quotidiennement,Quotidiennement,Emploi trouvé avant l'obtention de votre diplôme,stage de fin d'études,Le contenu de la mission / poste proposé,oui,oui,5.0,5.0,5.0,5.0,5.0,5.0,Non,,Plutôt en désaccord,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail|Difficulté pour le stage de fin d'études,5.0,,,Oui
Homme,1868316566701450,Oui,,2018,Formation initiale (hors apprentissage),Matériaux (MAT),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Pays de la Loire,,22.0,4.0,Medysys,De 20 à 49 salarié(e)s ,Non,,Ingénieur Calcul,Ingénieur Calcul,Oui,"Sociétés de conseil ou d'ingénieurie, bureaux d'études indépendants",Divers,,,33000.0,Non,33000.0,NON,NON,NON,NON,Non,Quotidiennement,Rarement (quelques fois par mois),De 2 à moins de 3 mois,Site Internet spécialisé dans l'emploi (dont APEC),L'adéquation avec un projet professionnel ,oui,oui,4.0,4.0,5.0,3.0,2.0,4.0,Non,,Plutôt en désaccord,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail|Prétention salariale revue,5.0,,,Oui
Femme,1806661953120000,Oui,,2019,Formation initiale (hors apprentissage),Génie Biologique et Agroalimentaires (GBA),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Occitanie,,18.0,0.0,Nestlé Waters Supply Sud,250 à  4 999 salarié(e)s ,Oui,Nestle,Production - Exploitation ,Responsable d'équipe de production individuel,Non,Industrie agroalimentaire ,,,,38000.0,Oui,41000.0,OUI,NON,OUI,OUI,Non,Quotidiennement,Très rarement,,stage de fin d'études,L'adéquation avec un projet professionnel ,oui,oui,4.0,4.0,4.0,4.0,3.0,4.0,Non,,Plutôt d'accord,,,,,,,,,,,,,,,,,,,,,,,Chômage partiel / Réduction d'activité,4.0,,,Oui
Femme,1894585798284970,Oui,,2018,Formation initiale (hors apprentissage),Matériaux (MAT),En thèse,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail|Missions modifiées|Chômage partiel / Réduction d'activité,,,,Oui
Homme,1768556234866690,Oui,,2020,Formation initiale (hors apprentissage),Matériaux (MAT),En thèse,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,Non
Homme,1789139176706330,Oui,,2020,Sous contrat de professionalisation,Matériaux (MAT),En recherche emploi,Oui,5.0,Oui,"Peu d'offres d'emploi|""Covid""",,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chômage partiel / Réduction d'activité|Annulation d'embauche|Moins de propositions de recrutement|Moins d'offres d'emploi|Difficulté dans l'entreprise d'apprentissage,4.0,,,Oui
Homme,1783551661470470,Oui,,2019,Sous contrat d'apprentissage,Mécanique Structures Industrielles (MSI - apprentissage),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Provence-Alpes-Côte d'Azur,,16.0,0.0,AMETRA,250 à  4 999 salarié(e)s ,Oui,AMETRA GROUP,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Ingénieur Conception Mécanique,Oui,Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements,,,,35000.0,Oui,38000.0,NON,NON,NON,NON,Non,Quotidiennement,Souvent (plusieurs heures par semaine),,Site Internet spécialisé dans l'emploi (dont APEC),Le contenu de la mission / poste proposé,oui,oui,4.0,5.0,5.0,3.0,5.0,4.0,Non,,Plutôt d'accord,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail|Chômage partiel / Réduction d'activité,4.0,,,Oui
Femme,1788516818654960,Oui,,2020,Sous contrat d'apprentissage,Eau et Génie Civil (EGC - apprentissage),En poursuite d'études (hors thèse),,,,,Oui,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail|Moins de propositions de recrutement|Moins d'offres d'emploi|Prétention salariale revue,4.0,,,Oui
Femme,1782332987613640,,,2020,Sous contrat de professionalisation,Génie Biologique et Agroalimentaires (GBA),En recherche emploi,Oui,7.0,Non,Mobilité géographique difficile|Manque d'expérience professionnelle|Salaire proposé insuffisant,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,Oui
