Genre,Identifiant,nationalite_francaise,nationalite,date_diplome,type_formation,filiere,situation_actuelle,en_recherche_emploi,temps_recherche_emploi,refus_emploi,difficultes_recherche,alternance,nature_contrat,post_actuel,autre_activite,statut_emploi,nature_contrat,duree_CDD,localisation_emploi,region_emploi,pays_localisation,mois_emploi_occupe,jours_télétravail,statut_entreprise,nb_salarie_entrprise,entreprise_groupe,groupe,departement_emploi,intitule_emploi,cadre,secteur_activite_entreprise,secteur_intervention,emploi_lie_energie_renouvelable,salaire_brut_sans_prime,prime,salaire_brut_avec_prime,responsabilite_hierarchie,responsabilite_budget,responsabilite_equipe,responsabilite_projet,international,langue_français,langue_anglais,temps_trouve_emploi,moyen_trouver_emploi,moyen_trouver_emploi,critere_choix_emploi,emploi_niveau_qualification,emploi_formation,satisfaction_emploi,condition_travail,relation_collegues,niveau_remuneration,niveau_autonomie,jugement_localisation,recherche_nouvel_emploi,raisons_recherche_emploi,situation_sortie_polytech,temps_trouve_premier_emploi,post_premier_emploi,nature_contrat,condition_fin_premier_contrat,intitule_premier_emploi,location_premier_emploi,region_emploi,nom_entreprise_premier_emploi,taille_entreprise_premier_emploi,premiere_entreprise_groupe,secteur_premiere_entreprise,mois_premiere_entreprise,status_cadre_premier_emploi,temps_partiel_premier_emploi,moyen_trouver_premier_emploi,critere_choix_premier_emploi,remuneration_annuelle_brute_premier_emploi,prime_premier_emploi,remuneration_prime_premier_emploi,satisfaction_premier_emploi,impact_covid,satisfaction_formation,ig_avantage_double_competence,ig_membre_reseau,recommandation_polytech
Femme,1783100906791020,Oui,,2019.0,Formation initiale (hors apprentissage),Matériaux (MAT),En activité professionnelle,,,,,,,,Non,Salarié(e),CDI (contrat de travail à durée indéterminée) y compris de la fonction publique,,En France,Provence-Alpes-Côte d'Azur,,27.0,0.0,Secteur privé,De 50 à 249 salarié(e)s ,Oui,ORTEC ,"Méthodes, contrôle de production, maintenance",Ingénieure d'études ,Oui,"Énergie (Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné)","Énergie (Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné)",,32280.0,Oui,34025.0,NON,NON,NON,NON,Non,Quotidiennement,Rarement (quelques fois par mois),,Site Internet spécialisé dans l'emploi (dont APEC),"Plateforme emploi de l'école (Poly+)|Réseau social professionnel (viadéo, Linkedln)|Site Internet spécialisé dans l'emploi (dont APEC)|Sites Internet d'entreprises",Le lieu géographique ,oui,non,3.0,3.0,3.0,3.0,4.0,3.0,Non,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail|Missions modifiées|Chômage partiel / Réduction d'activité|Report d'une évolution de carrière|Prétention salariale revue,4.0,,,Oui
Homme,1767190160340410,Oui,,2020.0,Sous contrat d'apprentissage,Eau et Génie Civil (EGC - apprentissage),En activité professionnelle,,,,,,,,Non,Salarié(e),CDI (contrat de travail à durée indéterminée) y compris de la fonction publique,,En France,Normandie,,18.0,0.0,Secteur privé,5 000 salarié(e)s ou plus,Oui,EDF,"Méthodes, contrôle de production, maintenance",Ingénieur Génie Civil,Oui,"Énergie (Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné)","Énergie (Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné)",,38000.0,Oui,45000.0,NON,OUI,OUI,OUI,Non,Quotidiennement,Très rarement,,Apprentissage (embauche dans l'entreprise d'accueil du contrat),Apprentissage (embauche dans l'entreprise d'accueil du contrat),Le montant du salaire proposé ,oui,oui,4.0,4.0,4.0,4.0,5.0,3.0,Non,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,Oui
Homme,1776106641864830,Oui,,2020.0,Sous contrat d'apprentissage,Eau et Génie Civil (EGC - apprentissage),En activité professionnelle,,,,,,,,Non,Salarié(e),CDI (contrat de travail à durée indéterminée) y compris de la fonction publique,,En France,Occitanie,,13.0,1.0,Secteur privé,De 50 à 249 salarié(e)s ,Non,,Ingénierie hydraulique,Hydraulicien,Oui,Autres secteurs ,Autres secteurs ,,33000.0,Oui,34000.0,NON,OUI,NON,OUI,Non,Quotidiennement,Souvent (plusieurs heures par semaine),,Site Internet spécialisé dans l'emploi (dont APEC),"Réseau social professionnel (viadéo, Linkedln)|Site Internet spécialisé dans l'emploi (dont APEC)",L'adéquation avec un projet professionnel ,oui,oui,5.0,5.0,5.0,5.0,4.0,5.0,Non,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail|Report d'une évolution de carrière|Annulation d'embauche,3.0,,,Oui
Homme,1799416649983310,Oui,,2020.0,Sous contrat d'apprentissage,Eau et Génie Civil (EGC - apprentissage),En activité professionnelle,,,,,,,,Non,Salarié(e),CDI (contrat de travail à durée indéterminée) y compris de la fonction publique,,En France,Provence-Alpes-Côte d'Azur,,15.0,0.0,Secteur privé,250 à  4 999 salarié(e)s ,Oui,Vinci,Production - Exploitation ,Ingénieur travaux,Oui,"Construction, BTP","Construction, BTP",,38000.0,Oui,42000.0,OUI,OUI,OUI,OUI,Non,Quotidiennement,Très rarement,,Relations personnelles,"Apprentissage (embauche dans l'entreprise d'accueil du contrat)|Réseau social professionnel (viadéo, Linkedln)|Site Internet spécialisé dans l'emploi (dont APEC)|Relations personnelles",Les perspectives de carrière dans cette entreprise,oui,oui,4.0,5.0,5.0,4.0,4.0,5.0,Non,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,Oui
Femme,1775413928705090,Oui,,2019.0,Formation initiale (hors apprentissage),Génie Biologique et Agroalimentaires (GBA),En poursuite d'études (hors thèse) / en formation,,,,,non,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,activité professionnelle,Emploi trouvé avant l'obtention de votre diplôme,Salarié(e) du secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),Rupture conventionnelle,Ingénieur R&D,En France,Auvergne-Rhône-Alpes,Les Glaces de l'Ardèche, Moins de 10 salarié(e)s ,Non,Industrie agroalimentaire ,13.0,Oui,Oui,Stage de fin d'études,Les perspectives de croissance de l'entreprise,39000.0,Non,39000.0,2.0,Recours au télétravail|Missions modifiées|Chômage partiel / Réduction d'activité|Perte d'emploi / Cessation d'activité,5.0,,,Oui
Homme,1788460149544450,Oui,,2020.0,Sous contrat d'apprentissage,Eau et Génie Civil (EGC - apprentissage),En activité professionnelle,,,,,,,,Non,Salarié(e),CDI (contrat de travail à durée indéterminée) y compris de la fonction publique,,En France,Nouvelle-Aquitaine,,17.0,0.0,Secteur privé,250 à  4 999 salarié(e)s ,Oui,Vinci,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Chargé étude de prix ,Oui,"Construction, BTP","Construction, BTP",,29400.0,Oui,33000.0,NON,OUI,OUI,OUI,Non,Quotidiennement,Rarement (quelques fois par mois),,Apprentissage (embauche dans l'entreprise d'accueil du contrat),Apprentissage (embauche dans l'entreprise d'accueil du contrat),L'adéquation avec un projet professionnel ,oui,oui,4.0,3.0,4.0,2.0,5.0,4.0,Oui,Déménagement l'année prochaine dans un autre département + niveau de salaire,,,,,,,,,,,,,,,,,,,,,,,4.0,,,Oui
Femme,1788516818654960,Oui,,2020.0,Sous contrat d'apprentissage,Eau et Génie Civil (EGC - apprentissage),En activité professionnelle,,,,,,,,Non,Salarié(e),CDD (contrat de travail à durée déterminée) y compris de la fonction publique,9.0,En France,Nouvelle-Aquitaine,,1.0,1.0,Secteur privé,250 à  4 999 salarié(e)s ,Oui,Veolia,"Méthodes, contrôle de production, maintenance",Ingénieur Asset Management,Oui,"Production et distribution d'eau assainissement, gestion des déchets et dépollution","Production et distribution d'eau assainissement, gestion des déchets et dépollution",,37000.0,Oui,40000.0,NON,OUI,NON,OUI,Non,Quotidiennement,Jamais,,Apprentissage (embauche dans l'entreprise d'accueil du contrat),Apprentissage (embauche dans l'entreprise d'accueil du contrat),Le contenu de la mission / poste proposé,oui,oui,5.0,4.0,4.0,4.0,5.0,5.0,Non,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail,4.0,,,Oui
Femme,1776106941550150,Oui,,2019.0,Formation initiale (hors apprentissage),Matériaux (MAT),En thèse / PhD,,,,,,Contrat à durée déterminée (CDD),,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail|Chômage partiel / Réduction d'activité,4.0,,,Oui
Homme,1789078789493070,Oui,,2019.0,Formation initiale (hors apprentissage),Matériaux (MAT),En activité professionnelle,,,,,,,,Oui,Salarié(e),CDI (contrat de travail à durée indéterminée) y compris de la fonction publique,,En France,Auvergne-Rhône-Alpes,,18.0,2.0,Secteur privé,5 000 salarié(e)s ou plus,Oui,Somfy group,"Qualité, hygiène, sécurité, environnement, normalisation, certification",Ingénieur assurance qualité fournisseurs,Oui,"Autres industries (bois, imprimerie, fabrication, réparation et installation de machines et d'équipements, ...)","Autres industries (bois, imprimerie, fabrication, réparation et installation de machines et d'équipements, ...)",,35000.0,Oui,47800.0,NON,NON,NON,NON,Oui,Quotidiennement,Quotidiennement,,"Réseau social professionnel (viadéo, Linkedln)","Réseau social professionnel (viadéo, Linkedln)|Site Internet spécialisé dans l'emploi (dont APEC)|Sites Internet d'entreprises",La notoriété de l'entreprise ,oui,non,3.0,4.0,4.0,3.0,3.0,2.0,Oui,Changement géographique + changement de poste ,activité professionnelle,Emploi trouvé avant l'obtention de votre diplôme,Salarié(e) du secteur privé (y compris structure associative),CDD (contrat de travail à durée déterminée),Fin de contrat ou fin de mission,Ingénieur Qualité amélioration continue ,En France,Auvergne-Rhône-Alpes,Louis Vuitton,5 000 salarié(e)s ou plus,Oui,"Fabrication de textiles, industries de l'habillement, industrie du cuir et de la chaussure",12.0,Oui,Non,Relations personnelles,La notoriété de l'entreprise ,35000.0,Non,35000.0,3.0,Recours au télétravail|Annulation d'embauche|Moins de propositions de recrutement|Moins d'offres d'emploi,4.0,,,Oui
Femme,1788636361004640,Oui,,2019.0,Formation initiale (hors apprentissage),Génie Biologique et Agroalimentaires (GBA),En activité professionnelle,,,,,,,,Oui,Salarié(e),CDI (contrat de travail à durée indéterminée) y compris de la fonction publique,,En France,Occitanie,,1.0,0.0,Secteur privé,De 20 à 49 salarié(e)s ,Non,,"Qualité, hygiène, sécurité, environnement, normalisation, certification",Responsable traçabilité et qualité ,Oui,Industrie agroalimentaire ,Industrie agroalimentaire ,,32000.0,Non,32000.0,OUI,NON,OUI,OUI,Oui,Quotidiennement,Rarement (quelques fois par mois),Moins d'un mois,Site Internet spécialisé dans l'emploi (dont APEC),Site Internet spécialisé dans l'emploi (dont APEC),Le contenu de la mission / poste proposé,oui,oui,3.0,2.0,4.0,3.0,4.0,5.0,Oui,Cherche toujours l'emploi idéal ,activité professionnelle,De 1 à moins de 2 mois,Salarié(e) du secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),"Démission, vous aviez une autre proposition de contrat",Assistante achat grands vins,En France,Provence-Alpes-Côte d'Azur,NG Vins, Moins de 10 salarié(e)s ,Non,Commerce,4.0,Non,Non,Site Internet spécialisé dans l'emploi (dont APEC),L'adéquation avec un projet professionnel ,24000.0,Non,24000.0,0.0,,5.0,,,Oui
