"identifiant","nature_contrat","localisation_emploi","region_emploi","entreprise_groupe","groupe","intitule_emploi","remuneration_annuelle_brute","prime","remuneration_prime","taille_entreprise_premier_emploi","secteur_premiere_entreprise","status_cadre_premier_emploi","nom_entreprise_premier_emploi"
1877069833744240,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Auvergne-Rhône-Alpes","Non","","Ingénieur développement logiciels",31500,"Non",31500,"","","",""
1867772706661410,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Île-de-France","Oui","Apside","Ingenieur FPGA",33000,"Oui",33000,"","","",""
1783164948056770,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Île-de-France","Oui","","Ingénieur Traitement d'images embarqué ",36000,"Oui",36000,"","","",""
1777070157836320,"","","","","","",NA,"",NA," Moins de 10 salarié(e)s ","Autres secteurs ","Oui","IoTerop"
1885320205889630,"","","","","","",NA,"",NA,"","","",""
1782336119224670,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Auvergne-Rhône-Alpes","Non","","Ingénieur Model Based Design",32000,"Non",32000,"","","",""
1802846092404660,"","","","","","",NA,"",NA,"","","",""
1782455519326140,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Non","","Ingénieur Développement",29000,"Non",29000,"","","",""
1782850313432270,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Île-de-France","Non","","Ingénieur d'étude et recherche",30000,"Oui",36000,"","","",""
1783165082353270,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Oui","Serma Group","Ingénieur FPGA",28200,"Oui",28200,"","","",""
1776102214054560,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Oui","BIT","ingénieur en Electronique",31728,"Oui",34344,"","","",""
1776102349584110,"","","","","","",NA,"",NA,"250 à  4 999 salarié(e)s ","Sociétés de conseil, bureaux d'études","Oui","Open"
1767833505039570,"","","","","","",NA,"",NA,"","","",""
1789139230825060,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Non","","Ingénieur recherche et développement",35000,"Oui",38000,"","","",""
1789086561411020,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Île-de-France","Oui","Airbus Group","Ingenieur Specialiste conception moyens essais spécifiques ",36000,"Oui",41000,"","","",""
1794681019749420,"","","","","","",NA,"",NA,"","","",""
1789078677755080,"CDD (contrat de travail à durée déterminée)","","","","","",NA,"",NA,"","","",""
1882519960739120,"CDD (contrat de travail à durée déterminée)","En France","Île-de-France","Non","","Gestionnaire d'actif",NA,"Non",NA,"","","",""
1889139174554320,"","","","","","",NA,"",NA,"De 10 à 19 salarié(e)s ","Énergie (Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné)","Non","Libwatt"
1782851081127970,"","","","","","",NA,"",NA,"250 à  4 999 salarié(e)s ","Énergie (Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné)","Oui","NOX Industrie et Process"
1882331879034060,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Île-de-France","Non","","Ingénieur projet",33000,"Oui",35500,"","","",""
