identifiant,sexe,nationalite_francaise,nationalite,date_diplome,type_formation,filiere,situation_actuelle,en_recherche_emploi,refus_emploi,difficultes_recherche,alternance,Quel est le poste que vous occupez?,Quel est le nom de votre entreprise / projet?,Pays de localisation de la future entreprise?,autre_activite,statut_emploi,nature_contrat,duree_CDD,localisation_emploi,region_premier_emploi,pays_localisation,temps_partiel,mois_emploi_occupe,nom_entreprise, Son site internet?,taille_entreprise,entreprise_groupe,groupe,departement_emploi,intitule_emploi,cadre,secteur_activite_entreprise,domaine_general_entreprise,langage_programmation,emploi_lie_energie_renouvelable,salaire_annuel_brut,prime,salaire_annuel_brut_prime,responsabilite_hierarchie,responsabilite_budget,responsabilite_equipe,responsabilite ,international,langue_français,langue_anglais,temps_trouve_emploi,moyen_trouver_emploi,critere_choix_emploi,emploi_niveau_qualification,emploi_formation,satisfaction_emploi,condition_travail,relation_collegues,niveau_remuneration,niveau_autonomie,jugement_localisation,recherche_nouvel_emploi,raisons_recherche_emploi,situation_sortie_polytech,temps_trouve_premier_emploi,post_premier_emploi,Aviez-vous un statut de :,nature_contrat,condition_fin_premier_contrat,intitule_premier_emploi,location_premier_emploi,nom_entreprise_premier_emploi,taille_entreprise_premier_emploi,premiere_entreprise_groupe,premier_groupe,secteur_premiere_entreprise,mois_premiere_entreprise,status_cadre_premier_emploi,temps_partiel_premier_emploi,moyen_trouver_premier_emploi,critere_choix_premier_emploi,remuneration_annuelle_brute_premier_emploi,prime_premier_emploi,remuneration_prime_premier_emploi,satisfaction_premier_emploi,satisfaction_formation,ig_avantage_double_competence,ig_membre_reseau,Laquelle?,recommandation_polytech
1877069833744240,Homme,Non,Belge,2017,Formation initiale (hors apprentissage),Microélectronique Et Automatique (MEA),En activité professionnelle,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée) y compris CDIC,,En France,Auvergne-Rhône-Alpes,,Non,2.0,Ponant Technologies,http://ponant-technologies.com/,De 20 à 49 salarié(e)s ,Non,,Informatique industrielle et technique ,Ingénieur développement logiciels,Oui,"Sociétés de conseil, bureaux d'études",,"C|""Robot Framework, Python""",,31500.0,Non,31500.0,NON,NON,NON,NON,Non,Quotidiennement,Quotidiennement,De 4 à moins de 5 mois,Relations personnelles,Le contenu de la mission / poste proposé,oui,oui,5.0,5.0,5.0,5.0,5.0,5.0,Non,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,Oui
1867772706661410,Homme,Oui,,2017,Formation initiale (hors apprentissage),Microélectronique Et Automatique (MEA),En activité professionnelle,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée) y compris CDIC,,En France,Île-de-France,,Non,6.0,Apside Technologies,,250 à  4 999 salarié(e)s ,Oui,Apside,Informatique industrielle et technique ,Ingenieur FPGA,Oui,Recherche-développement scientifique,,"VHDL|""Python""",,33000.0,Oui,33000.0,NON,NON,NON,NON,Non,Quotidiennement,Souvent (plusieurs heures par semaine),,"Réseau social professionnel (viadéo, Linkedln)",Le contenu de la mission / poste proposé,oui,oui,4.0,4.0,5.0,3.0,4.0,2.0,Non,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,Oui
1783164948056770,Homme,Oui,,2017,Formation initiale (hors apprentissage),Microélectronique Et Automatique (MEA),En activité professionnelle,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée) y compris CDIC,,En France,Île-de-France,,Non,2.0,,,De 20 à 49 salarié(e)s ,Oui,,Informatique industrielle et technique ,Ingénieur Traitement d'images embarqué ,Oui,"Industrie automobile, aéronautique, navale, ferroviaire",,C|Assembleur,,36000.0,Oui,36000.0,NON,NON,NON,NON,Non,Quotidiennement,Rarement (quelques fois par mois),,Sites Internet d'entreprises,L'adéquation avec un projet professionnel ,oui,oui,1.0,5.0,4.0,4.0,4.0,4.0,Non,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,Oui
1777070157836320,Homme,Oui,,2017,Formation initiale (hors apprentissage),Microélectronique Et Automatique (MEA),En thèse,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,activité professionnelle,De 1 à moins de 2 mois,Salarié(e) du secteur privé (y compris structure associative),,CDD (contrat de travail à durée déterminée),Fin de contrat ou fin de mission,Ingénieur,En France,IoTerop, Moins de 10 salarié(e)s ,Non,,Autres secteurs ,1.0,Oui,Non,Stage de fin d'études,L'adéquation avec un projet professionnel ,29000.0,Non,29000.0,3.0,4.0,,,,Oui
1885320205889630,Homme,Oui,,2017,Formation initiale (hors apprentissage),Microélectronique Et Automatique (MEA),En recherche emploi,Non,Oui,Difficultés à trouver des offres d'emploi|Manque d'expérience professionnelle|Formation inadaptée au marché de l'emploi,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,Non
1782336119224670,Homme,Oui,,2017,Formation initiale (hors apprentissage),Microélectronique Et Automatique (MEA),En activité professionnelle,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée) y compris CDIC,,En France,Auvergne-Rhône-Alpes,,Non,4.0,Assystem,http://www.assystem.com/fr/accueil.html,5 000 salarié(e)s ou plus,Non,,Informatique industrielle et technique ,Ingénieur Model Based Design,Oui,"Activités juridiques, comptables, de gestion, d'architecture, d'ingénierie, de contrôle et d'analyses techniques",,"C|""Matlab""",,32000.0,Non,32000.0,NON,NON,NON,NON,Non,Quotidiennement,Rarement (quelques fois par mois),De 2 à moins de 3 mois,Site Internet spécialisé dans l'emploi (dont APEC),L'adéquation avec un projet professionnel ,oui,non,4.0,4.0,5.0,2.0,3.0,3.0,Oui,Je cherche en Suisse pour des raisons financières et de localisation,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,Oui
1802846092404660,Homme,Oui,,2017,Formation initiale (hors apprentissage),Microélectronique Et Automatique (MEA),En thèse,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,Oui
1782455519326140,Femme,Oui,,2017,Formation initiale (hors apprentissage),Microélectronique Et Automatique (MEA),En activité professionnelle,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée) y compris CDIC,,En France,Occitanie,,Non,7.0,IOTEROP,http://ioterop.com, Moins de 10 salarié(e)s ,Non,,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Ingénieur Développement,Oui,Télécommunications,,C,,29000.0,Non,29000.0,NON,NON,NON,OUI,Oui,Quotidiennement,Quotidiennement,Emploi trouvé avant l'obtention de votre diplôme,stage de fin d'études,La politique globale de relations humaines dans l'entreprise ,oui,oui,5.0,5.0,4.0,3.0,5.0,5.0,Non,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,Oui
1782850313432270,Femme,Non,Marocaine,2017,Formation initiale (hors apprentissage),Microélectronique Et Automatique (MEA),En activité professionnelle,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée) y compris CDIC,,En France,Île-de-France,,Non,5.0,Innovateam,,De 50 à 249 salarié(e)s ,Non,,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Ingénieur d'étude et recherche,Oui,"Autres activités spécialisées, scientifiques et techniques",,"C|""Pré""",,30000.0,Oui,36000.0,NON,NON,NON,NON,Non,Quotidiennement,Souvent (plusieurs heures par semaine),,"Réseau social professionnel (viadéo, Linkedln)",Le secteur d'activité de l'entreprise,oui,,1.0,3.0,5.0,2.0,3.0,3.0,Non,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,Oui
1783165082353270,Homme,Oui,,2017,Formation initiale (hors apprentissage),Microélectronique Et Automatique (MEA),En activité professionnelle,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée) y compris CDIC,,En France,Occitanie,,Non,7.0,Serma Ingenierie,,250 à  4 999 salarié(e)s ,Oui,Serma Group,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Ingénieur FPGA,Oui,"Industrie automobile, aéronautique, navale, ferroviaire",,"VHDL|""Perl""",,28200.0,Oui,28200.0,NON,NON,NON,NON,Non,Quotidiennement,Souvent (plusieurs heures par semaine),,Démarché(e) par un 'chasseur de têtes',Le secteur d'activité de l'entreprise,oui,oui,4.0,4.0,4.0,3.0,4.0,4.0,Oui,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,Oui
1776102214054560,Homme,Oui,,2017,Formation initiale (hors apprentissage),Microélectronique Et Automatique (MEA),En activité professionnelle,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée) y compris CDIC,,En France,Occitanie,,Non,6.0,BIT Group France,https://www.bit-group.com/,De 20 à 49 salarié(e)s ,Oui,BIT,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",ingénieur en Electronique,Oui,Industrie pharmaceutique,,C|C++|VHDL,,31728.0,Oui,34344.0,NON,NON,NON,NON,Non,Quotidiennement,Quotidiennement,,stage de fin d'études,Le lieu géographique ,oui,oui,4.0,5.0,4.0,4.0,4.0,5.0,Non,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,Oui
1776102349584110,Homme,Oui,,2017,Sous contrat d'apprentissage,Systèmes Embarqués (SE - apprentissage),En thèse,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,activité professionnelle,Emploi trouvé avant l'obtention de votre diplôme,Salarié(e) du secteur privé (y compris structure associative),,CDI (contrat de travail à durée indéterminée) y compris CDIC,"Démission, vous aviez une autre proposition de contrat",Ingénieur développeur logiciel embarqué,En France,Open,250 à  4 999 salarié(e)s ,Non,,"Sociétés de conseil, bureaux d'études",2.0,Oui,Non,Relations personnelles,L'intérêt du travail en lui-même,32000.0,Non,32000.0,3.0,5.0,,,,Oui
1767833505039570,Homme,Oui,,2017,Sous contrat d'apprentissage,Systèmes Embarqués (SE - apprentissage),En thèse,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,Oui
1789139230825060,Homme,Oui,,2017,Sous contrat d'apprentissage,Systèmes Embarqués (SE - apprentissage),En activité professionnelle,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée) y compris CDIC,,En France,Occitanie,,Non,6.0,NanoXplore,http://www.nanoxplore.com,De 20 à 49 salarié(e)s ,Non,,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Ingénieur recherche et développement,Oui,Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements,,,,35000.0,Oui,38000.0,NON,NON,NON,OUI,Non,Quotidiennement,Souvent (plusieurs heures par semaine),,Apprentissage (embauche dans l'entreprise d'accueil du contrat),La politique globale de relations humaines dans l'entreprise ,oui,oui,5.0,5.0,5.0,4.0,4.0,5.0,Non,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,Oui
1789086561411020,Femme,Oui,,2017,Sous contrat d'apprentissage,Systèmes Embarqués (SE - apprentissage),En activité professionnelle,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée) y compris CDIC,,En France,Île-de-France,,Non,6.0,MBDA,http://www.mbda-systems.com/,250 à  4 999 salarié(e)s ,Oui,Airbus Group,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Ingenieur Specialiste conception moyens essais spécifiques ,Oui,Autres secteurs ,,,,36000.0,Oui,41000.0,NON,OUI,NON,OUI,Non,Quotidiennement,Très rarement,,Apprentissage (embauche dans l'entreprise d'accueil du contrat),Le contenu de la mission / poste proposé,oui,oui,4.0,4.0,4.0,4.0,4.0,0.0,Non,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,Oui
1794681019749420,Homme,Oui,,2017,Sous contrat d'apprentissage,Systèmes Embarqués (SE - apprentissage),En thèse,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
1789078677755080,Homme,Oui,,2017,Formation initiale (hors apprentissage),Energétique - énergies Renouvelables (EnR),En recherche emploi,Non,Oui,Mobilité géographique difficile|Manque d'expérience professionnelle|Difficulté à mettre en valeur mes compétences,,,,,Oui,Salarié(e) du secteur public,CDD (contrat de travail à durée déterminée),4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Volontariat (VIE, VIA..)",,,,,,,,,,,,,,,,,,,,,,4.0,,,,Oui
1882519960739120,Homme,Oui,,2017,Formation initiale (hors apprentissage),Energétique - énergies Renouvelables (EnR),En activité professionnelle,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDD (contrat de travail à durée déterminée),6.0,En France,Île-de-France,,Non,6.0,Greensolver,https://greensolver.net/,De 20 à 49 salarié(e)s ,Non,,Exploitation / maintenance informatique ,Gestionnaire d'actif,Oui,"Énergie (Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné)",,,Oui,,Non,,NON,OUI,NON,OUI,Oui,Quotidiennement,Quotidiennement,Emploi trouvé avant l'obtention de votre diplôme,Candidature spontannée,Le secteur d'activité de l'entreprise,oui,oui,4.0,4.0,5.0,2.0,3.0,4.0,Non,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,Non
1889139174554320,Femme,Oui,,2017,Formation initiale (hors apprentissage),Energétique - énergies Renouvelables (EnR),En recherche emploi,Non,Oui,Mobilité géographique difficile|Manque d'expérience professionnelle|Difficulté à mettre en valeur mes compétences,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,activité professionnelle,Emploi trouvé avant l'obtention de votre diplôme,Salarié(e) du secteur privé (y compris structure associative),,CDD (contrat de travail à durée déterminée),Fin de contrat ou fin de mission,Technicien Bureau d'étude,En France,Libwatt,De 10 à 19 salarié(e)s ,Non,,"Énergie (Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné)",6.0,Non,Non,Stage de fin d'études,L'intérêt du travail en lui-même,20000.0,Non,20000.0,2.0,4.0,,,,Oui
1782851081127970,Homme,Oui,,2017,Sous contrat d'apprentissage,Mécanique Structures Industrielles (MSI - apprentissage),"En volontariat (VIE, VIA, Volontariat civil..)",,,,,Responsable QA/QC,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,activité professionnelle,Emploi trouvé avant l'obtention de votre diplôme,Salarié(e) du secteur privé (y compris structure associative),,CDI (contrat de travail à durée indéterminée) y compris CDIC,"Démission, vous aviez une autre proposition de contrat",Chargé d'études,En France,NOX Industrie et Process,250 à  4 999 salarié(e)s ,Oui,Groupe NOX,"Énergie (Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné)",1.0,Oui,Non,Apprenti(e) : Embauché(e) par l'entreprise d'apprentissage,Autre,33000.0,Non,33000.0,1.0,3.0,,,,
1882331879034060,Homme,Oui,,2017,Formation initiale (hors apprentissage),Energétique - énergies Renouvelables (EnR),En activité professionnelle,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée) y compris CDIC,,En France,Île-de-France,,Non,1.0,Ingélib,http://ingelib.com/, Moins de 10 salarié(e)s ,Non,,Etudes - Conseil et expertise (autre qu'informatique),Ingénieur projet,Oui,"Sociétés de conseil, bureaux d'études",,,Oui,33000.0,Oui,35500.0,NON,OUI,NON,OUI,Non,Quotidiennement,Rarement (quelques fois par mois),,Site Internet spécialisé dans l'emploi (dont APEC),Le contenu de la mission / poste proposé,oui,oui,4.0,5.0,5.0,4.0,4.0,3.0,Non,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,Oui
1798760225386290,Homme,Oui,,2017,Formation initiale (hors apprentissage),Energétique - énergies Renouvelables (EnR),En activité professionnelle,,,,,,,,Oui,Salarié(e) secteur privé (y compris structure associative),CDD (contrat de travail à durée déterminée),6.0,En France,Île-de-France,,Non,2.0,Total Solar,,De 50 à 249 salarié(e)s ,Oui,Total,Etudes - Conseil et expertise (autre qu'informatique),Ingénieur de projet,Oui,"Énergie (Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné)",,,Oui,36000.0,Non,36000.0,NON,OUI,NON,OUI,Non,Quotidiennement,Quotidiennement,De 3 à moins de 4 mois,Démarché(e) par un 'chasseur de têtes',Le secteur d'activité de l'entreprise,oui,oui,3.0,3.0,3.0,4.0,2.0,2.0,Oui,,activité professionnelle,De 2 à moins de 3 mois,Salarié(e) du secteur privé (y compris structure associative),,CDI (contrat de travail à durée indéterminée) y compris CDIC,"Démission, vous aviez une autre proposition de contrat",Chargé d'affaire,En France,Bouygues energies et services,250 à  4 999 salarié(e)s ,Oui,Bouygues,"Construction, BTP",2.0,Oui,Non,Stage 4ème année,Le lieu géographique ,35000.0,Oui,37200.0,0.0,4.0,,,,Oui
1789139014496940,Homme,Oui,,2017,Formation initiale (hors apprentissage),Energétique - énergies Renouvelables (EnR),En recherche emploi,Non,Non,Manque d'expérience professionnelle,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,Non
1783551800309570,Homme,Oui,,2017,Formation initiale (hors apprentissage),Energétique - énergies Renouvelables (EnR),En activité professionnelle,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée) y compris CDIC,,En France,Occitanie,,Non,7.0,VSB Énergies Nouvelles,,De 50 à 249 salarié(e)s ,Oui,VSB Holding,Commercial(e) (dont ingénieur(e) d'affaire) ,Chargé d'Affaires,Oui,"Énergie (Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné)",,,Oui,30000.0,Oui,32000.0,NON,NON,NON,OUI,Non,Quotidiennement,Rarement (quelques fois par mois),,Site Internet spécialisé dans l'emploi (dont APEC),Le contenu de la mission / poste proposé,oui,oui,4.0,2.0,3.0,3.0,5.0,5.0,Oui,Relations humaines,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,Oui
1788742523348860,Homme,Oui,,2017,Formation initiale (hors apprentissage),Informatique et Gestion (IG),En activité professionnelle,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée) y compris CDIC,,En France,Occitanie,,Non,6.0,CGI,,5 000 salarié(e)s ou plus,Oui,Groupe CGI,Informatique industrielle et technique ,Consultant SAP,Oui,Activités informatiques et services d'information (TIC services),,,,29000.0,Oui,29000.0,NON,NON,NON,NON,Non,Quotidiennement,Jamais,,stage de fin d'études,Les perspectives de carrière dans cette entreprise,non,oui,3.0,3.0,3.0,2.0,4.0,4.0,Non,,,,,,,,,,,,,,,,,,,,,,,,4.0,OUI,NON,,Oui
1888636169617940,Homme,Oui,,2017,Formation initiale (hors apprentissage),Informatique et Gestion (IG),En activité professionnelle,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée) y compris CDIC,,En France,Occitanie,,Non,6.0,Acelys services numériques,http://www.acelys.fr,De 50 à 249 salarié(e)s ,Oui,Acelys,Informatique industrielle et technique ,Analyste Developpeur,Oui,Activités informatiques et services d'information (TIC services),,,,28000.0,Non,28000.0,NON,NON,NON,NON,Non,Quotidiennement,Rarement (quelques fois par mois),Emploi trouvé avant l'obtention de votre diplôme,Sites Internet d'entreprises,Les perspectives de carrière dans cette entreprise,oui,oui,3.0,4.0,5.0,2.0,3.0,5.0,Non,S,,,,,,,,,,,,,,,,,,,,,,,4.0,OUI,NON,,Oui
1776170137315530,Homme,Oui,,2017,Formation initiale (hors apprentissage),Informatique et Gestion (IG),En activité professionnelle,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée) y compris CDIC,,En France,Île-de-France,,Non,5.0,LUCKYCART,http://LUCKYCART.COM,De 20 à 49 salarié(e)s ,Non,,Etudes et développement en systèmes d'information ,DATA ENGINEER,Oui,Activités informatiques et services d'information (TIC services),,,,38000.0,Oui,41000.0,OUI,OUI,NON,OUI,Non,Quotidiennement,Quotidiennement,,Site Internet spécialisé dans l'emploi (dont APEC),L'adéquation avec un projet professionnel ,oui,oui,5.0,4.0,4.0,4.0,4.0,4.0,Non,,,,,,,,,,,,,,,,,,,,,,,,4.0,OUI,OUI,"LINKEDIN, MEETUPS",Oui
